USA	ITA	1
USA	USA	0
USA	DEU	1
USA	FRA	1
USA	JPN	1
USA	NLD	1
USA	GBR	1
USA	CHN	1
USA	VGB	1
USA	CYM	1
USA	HKG	1
USA	BEL	1
USA	IRL	1
DEU	DEU	0
USA	LUX	1
DEU	USA	1
DEU	ITA	1
DEU	JPN	1
DEU	FRA	1
DEU	NLD	1
DEU	GBR	1
DEU	HKG	1
DEU	CYM	1
DEU	CHN	1
DEU	VGB	1
FRA	USA	1
FRA	DEU	1
FRA	FRA	0
DEU	IRL	1
FRA	NLD	1
DEU	LUX	1
FRA	JPN	1
FRA	GBR	1
FRA	ITA	1
FRA	CHN	1
FRA	CYM	1
ITA	FRA	1
ITA	ITA	0
FRA	HKG	1
FRA	BEL	1
FRA	LUX	1
FRA	VGB	1
ITA	USA	1
FRA	IRL	1
ITA	DEU	1
ITA	JPN	1
ITA	NLD	1
ITA	GBR	1
ITA	HKG	1
ITA	CHN	1
ITA	IRL	1
ITA	LUX	1
ITA	VGB	1
ITA	CYM	1
ITA	BEL	1
NLD	USA	1
NLD	DEU	1
NLD	FRA	1
NLD	NLD	0
NLD	ITA	1
NLD	JPN	1
NLD	GBR	1
NLD	CHN	1
NLD	VGB	1
NLD	CYM	1
NLD	HKG	1
NLD	BEL	1
NLD	LUX	1
NLD	IRL	1
JPN	USA	1
JPN	DEU	1
JPN	FRA	1
JPN	ITA	1
JPN	JPN	0
JPN	NLD	1
JPN	CHN	1
JPN	CYM	1
JPN	GBR	1
JPN	VGB	1
JPN	HKG	1
JPN	LUX	1
JPN	BEL	1
JPN	IRL	1
GBR	DEU	1
GBR	USA	1
GBR	FRA	1
GBR	NLD	1
GBR	GBR	0
GBR	ITA	1
GBR	CHN	1
GBR	JPN	1
GBR	CYM	1
GBR	HKG	1
GBR	LUX	1
GBR	BEL	1
GBR	IRL	1
GBR	VGB	1
CHN	USA	1
CHN	DEU	1
CHN	FRA	1
CHN	NLD	1
CHN	ITA	1
CHN	JPN	1
CHN	GBR	1
CHN	CHN	0
CHN	HKG	1
CHN	CYM	1
CHN	VGB	1
CHN	LUX	1
CHN	IRL	1
CHN	BEL	1
CYM	USA	1
CYM	FRA	1
CYM	DEU	1
CYM	ITA	1
CYM	JPN	1
CYM	CHN	1
CYM	NLD	1
CYM	GBR	1
CYM	CYM	0
CYM	VGB	1
CYM	HKG	1
CYM	BEL	1
CYM	LUX	1
HKG	USA	1
CYM	IRL	1
HKG	DEU	1
HKG	FRA	1
HKG	ITA	0
HKG	JPN	1
HKG	NLD	1
HKG	GBR	1
HKG	CHN	1
HKG	HKG	0
HKG	CYM	1
HKG	BEL	0
HKG	VGB	1
VGB	DEU	0
HKG	LUX	1
VGB	USA	0
HKG	IRL	1
VGB	FRA	0
VGB	NLD	0
VGB	ITA	0
VGB	GBR	0
VGB	JPN	0
VGB	CYM	0
VGB	HKG	0
VGB	LUX	0
VGB	VGB	0
VGB	BEL	0
VGB	CHN	0
BEL	ITA	1
VGB	IRL	0
BEL	USA	1
BEL	FRA	1
BEL	DEU	1
BEL	JPN	1
BEL	NLD	1
BEL	HKG	1
BEL	CHN	1
BEL	GBR	1
BEL	CYM	1
BEL	VGB	1
BEL	BEL	0
BEL	IRL	1
LUX	USA	1
LUX	DEU	1
BEL	LUX	1
LUX	FRA	1
LUX	NLD	1
LUX	JPN	1
LUX	ITA	1
LUX	GBR	1
LUX	HKG	1
LUX	CHN	1
LUX	VGB	1
LUX	BEL	1
LUX	CYM	1
IRL	DEU	1
DEU	BEL	
LUX	IRL	1
IRL	USA	1
IRL	ITA	1
IRL	FRA	1
IRL	JPN	1
IRL	NLD	1
IRL	GBR	1
LUX	LUX	0
IRL	CHN	1
IRL	HKG	1
IRL	CYM	1
IRL	LUX	1
IRL	IRL	0
IRL	BEL	1
IRL	VGB	1
