                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2020
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Tuvalu                                                    *               *               0               0               0               0               0
  Uganda                                                  645              22             474              17              46              50              36
  Ukraine                                                5832              39            5664               0               2             125               2
  United Arab Emirates                                 151382          126616           15303              27            1332            7788             317
  United Kingdom                                      1909137         1018607          369792            2615           39964          449065           29094
  Uruguay                                                8540            2917            3869             196             441            1108               8
  Uzbekistan                                                1               1               0               0               0               *               0
  Vanuatu                                                  10               3               7               0               0               0               0
  Venezuela                                              5303            3243              73               8              23            1952               4
  Vietnam                                               30390              51           30335               *               *               4               0
  West Bank and Gaza                                        *               *               0               0               0               0               0
  Yemen                                                     1               1               *               0               0               *               0
  Zambia                                                  144               2             140               0               0               1               0
  Zimbabwe                                                  6               5               *               0               0               1               0
  International and regional organizations              70688            9479           45257            3550            1411            9961            1029
  Country Unknown                                       76429            1052              54              39               2           75281               1

  Total                                              20726164         9167557         6005340           63321         1159217         4000910          329820

  of which: Holdings of foreign official
  institutions                                        5895216         1246137         3762958           25781          660290          179979           20071

  Totals by Region:
  Total Africa                                          62936           20710           38101             320            1142            2516             147
  Total Asia                                          7205759         2088870         3483409           19465          903971          657304           52741
  Total Caribbean                                     2387731         1326948          196116           12523           72618          665670          113856
  Total Europe                                        8699147         4337934         1727409           16392          141955         2349912          125545
  Total Latin America                                  534341          112727          374715            9495           11896           25015             493
  Canada                                              1306219          971346          101795            1325           21666          179075           31012
  Australia/Oceania                                    382915          298491           38485             212            4556           36174            4996
  Country Unknown                                       76429            1052              54              39               2           75281               1
  International and regional organizations              70688            9479           45257            3550            1411            9961            1029


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.
    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.
    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.
    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.




