                                                       
                                                       
                                                       
                                                       
                                                       
Table A8.  Foreign Holdings of U.S. Equities, by Country and Equity Type,
as of June 30, 2020
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Afghanistan                                               7               2               5               0
  Albania                                                   6               3               3               0
  Algeria                                                  41              40               1               *
  Andorra                                                 856             653             172              30
  Angola                                                  231             211               5              15
  Anguilla                                               6506            6089             404              13
  Antigua and Barbuda                                     189             150              35               4
  Argentina                                              6867            2630            3953             285
  Armenia                                                   9               7               2               *
  Aruba                                                   377             146             227               4
  Australia                                            266664          200469           40602           25592
  Austria                                               16137           14433            1653              51
  Azerbaijan                                             2365            2009              83             272
  Bahamas                                               27053           10839           14826            1388
  Bahrain                                                 893             587             280              26
  Bangladesh                                                6               3               3               *
  Barbados                                               1230             472             716              42
  Belarus                                                  25              25               *               0
  Belgium                                               58885           43277           15364             244
  Belize                                                  662             233             374              55
  Benin                                                     1               *               1               0
  Bermuda                                              110660           25865           78188            6606
  Bhutan                                                   28              15              13               0
  Bolivia                                                 343              85             253               5
  Bonaire, Sint Eustatius & Saba (1)                       15               6               9               1
  Bosnia and Herzegovina                                    6               5               1               0
  Botswana                                                282             256              22               5
  Brazil                                                 7571            4607            2355             608
  British Indian Ocean Territory                            5               2               3               0
  British Virgin Islands                               105613           50788           39573           15251
  Brunei                                                 2481            1125            1215             142
  Bulgaria                                                356             164             192               1
  Burkina Faso                                             14              13               1               *
  Burma                                                     3               1               2               *
  Burundi                                                   *               *               0               0
  Cambodia                                                  9               3               6               *
  Cameroon                                                  1               1               *               0
  Canada                                               971346          741018          182376           47953
  Cape Verde                                              209             209               *               0
  Cayman Islands                                      1059356          579186          276398          203772
  Central African Republic                                  *               0               0               *
  Chad                                                      *               *               *               *
  Chile                                                 23092            3271           18498            1323
  China, mainland (2)                                  233308          178718           16848           37742
  Colombia                                              13628             520           11497            1611
  Comoros                                                   5               4               1               0
  Congo (Brazzaville)                                       2               1               1               0
  Congo (Kinshasa)                                          1               *               1               0
  Cook Islands                                            368             270              97               1
  Costa Rica                                             1980             494            1423              64
