                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A2.  Foreign Holdings of U.S. Equities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2013            2014            2015            2016            2017            2018            2019            2020
  Afghanistan                                          *               *               *               *               *               *               *               *
  Albania                                              *               *               *               *               *               *               *               *
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               1               *               *               *               1               *               1               *
  Anguilla                                            21              17              19              16              15               2               5               7
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            5               5               5               4               5               5               6               7
  Armenia                                              *               *               *               *               *               *               *               *
  Aruba                                                *               *               *               *               1               *               *               *
  Australia                                          149             170             176             171             193             223             262             267
  Austria                                              7               9               8               9              11              14              20              16
  Azerbaijan                                           *               *               1               1               1               2               2               2
  Bahamas                                             19              22              21              17              21              20              23              27
  Bahrain                                              1               1               1               1               1               1               1               1
  Bangladesh                                           *               *               *               *               *               *               *               *
  Barbados                                             1               1               2               2               1               2               2               1
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                             29              34              34              31              38              54              58              59
  Belize                                               *               1               1               *               *               1               1               1
  Benin                                                *               *               *               *               *               *               *               *
  Bermuda                                             74              93              89              86              95             102             111             111
  Bhutan                                               *               *               *               *               *               *               *               *
  Bolivia                                              *               *               *               *               *               *               1               *
  Bonaire, Sint Eustatius & Saba (1)                n.a.               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             1               1               1               *               1               1               *               *
  Brazil                                               4               7               8               5               5               6               5               8
  British Indian Ocean Territory                       *               *               *               *               *               *               *               *
  British Virgin Islands                             101             128             119             105             112             114             112             106
  Brunei                                               2               4               2               2               4               5               3               2
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         *               *               *               *               *               *               *               *
  Burma                                                *               *               *               *               *               *               *               *
  Burundi                                              *               *               *               *               *               *               *               *
  Cambodia                                             *               *               *               *               *               *               *               *
  Cameroon                                             *               *               *               *               *               *               *               *
  Canada                                             617             769             761             695             810             928             956             971
  Cape Verde                                           *               *               *               *               *               *               *               *
  Cayman Islands                                     628             838             884             796             928            1038            1084            1059
  Central African Republic                             *               *               *               *               *               *               *               *
  Chad                                                 *               *               *               *               *               *               *               *
  Chile                                               22              27              29              21              24              21              22              23
  China, mainland (2)                                261             320             330             178             194             217             189             233
  Colombia                                             7              11              18              13              13              13              13              14
  Comoros                                              *               1               1               *               *               *               *               *
  Congo (Brazzaville)                                  *               *               *               *               *               *               *               *
  Congo (Kinshasa)                                     *               *               *               *               *               *               *               *
  Cook Islands                                         *               *               *               *               1               1               *               *
  Costa Rica                                           1               1               2               1               1               1               2               2
  Cote d`Ivoire (Ivory Coast)                          *               *               *               *               *               *               *               *
  Croatia                                              *               *               *               *               *               *               1               1
  Cuba                                                 *               *               *               *               *               *               *               *
  Curacao (1)                                       n.a.               2               2               3               3               4               4               4
  Cyprus                                               *               1               *               *               *               1               1               2
  Czech Republic                                       2               2               2               2               3               3               4               5
  Denmark                                             48              53              61              68              83              87             100             115
  Djibouti                                             *               *               *               *               *               *               *               *
  Dominica                                             *               *               *               *               *               *               *               *
  Dominican Republic                                   *               *               *               *               *               *               *               *
  East Timor                                           2               3               4               4               4               4               4               4
  Ecuador                                              *               *               1               1               *               *               1               1
  Egypt                                                *               *               *               *               *               1               *               3
  El Salvador                                          *               *               *               *               *               *               *               *
  Equatorial Guinea                                    *               *               *               *               *               *               *               *
  Eritrea                                              *               *               *               *               *               *               *               *
  Estonia                                              *               *               *               *               *               1               *               1
  Ethiopia                                             *               *               *               *               *               *               *               *
  Falkland Islands                                     *               *               *               *               *               *               *               *
  Faroe Islands                                        *               *               *               *               *               *               *               *
  Federated States of Micronesia                       *               *               *               *               *               *               *               *
  Fiji                                                 *               *               *               *               *               *               *               *
  Finland                                             14              21              18              21              28              34              38              36
  France                                             115             157             168             120             154             166             177             192
  French Guiana                                        *               *               *               *               *               *               *               *
  French Polynesia                                     *               *               *               *               *               *               *               *
  Gabon                                                *               *               *               *               *               *               *               *
  Gambia                                               *               *               *               *               *               *               *               *
  Georgia                                              *               *               *               *               *               *               *               *
  Germany                                            111             137             159             155             208             239             191             210
  Ghana                                                *               *               *               *               *               *               *               *
  Gibraltar                                            *               *               *               *               *               *               *               *
  Greece                                               4               5               4               2               2               2               2               2
  Greenland                                            *               *               *               *               *               *               *               *
  Grenada                                              *               *               *               *               *               *               *               *
  Guadeloupe (1)                                       *               *               *               *               *               *               *               *
  Guatemala                                            *               *               *               *               *               *               1               *
  Guernsey                                            21              24              26              27              32              32              43              40
  Guinea                                               *               *               *               *               *               *               *               *
  Guinea-Bissau                                        *               *               0               0               0               0               0               0
  Guyana                                               *               *               *               *               *               *               *               *
  Haiti                                                *               *               *               *               *               *               *               *
  Holy See (Vatican)                                   *               *               *               *               *               *               *               *
  Honduras                                             *               *               *               *               *               *               *               *
  Hong Kong                                           56              74              77              75              96             113             110             126
  Hungary                                              1               1               1               1               1               1               1               1
  Iceland                                              1               1               1               1               1               1               1               1
  India                                                1               2               2               2               3               4               4               6
  Indonesia                                            *               *               *               *               *               *               *               *
  Iran                                                 *               *               *               *               *               *               *               *
  Iraq                                                 *               *               *               *               *               *               *               *
  Ireland                                            141             204             235             238             296             393             456             517
  Isle of Man                                          1               1               1               1               1               1               1               1
  Israel                                              30              35              41              37              49              55              65              80
  Italy                                               21              27              26              24              27              33              35              45
  Jamaica                                              *               *               *               *               *               *               *               *
  Japan                                              316             361             391             428             490             543             596             667
  Jersey                                              14              17              18              17              16              15              18              17
  Jordan                                               *               *               *               *               *               *               *               *
  Kazakhstan                                           5               6               7               5               6               *               *               *
  Kenya                                                *               *               *               *               *               *               *               *
  Kiribati                                             *               *               *               *               *               *               *               *
  Korea, South                                        36              59              62              75             102             125             153             187
  Kosovo (1)                                        n.a.               *               *               *               *               *               *               *
  Kuwait                                             112             136             136             131             160             185             197             211
  Kyrgyzstan                                           *               *               *               *               *               *               *               *
  Laos                                                 *               *               *               *               *               *               *               *
  Latvia                                               *               *               *               *               *               *               *               *
  Lebanon                                              1               1               *               *               *               *               *               *
  Lesotho                                              *               *               *               0               0               0               0               0
  Liberia                                              1               1               1               1               1               1               1               1
  Libya                                                *               *               *               *               *               *               *               *
  Liechtenstein                                        3               4               3               3               3               4               1               8
  Lithuania                                            *               *               *               *               *               *               *               *
