"Table A1.  Value of foreign holdings of U.S. securities, by country and type of security, as"
"of June 30, 2017"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Seychelles",167,150,17,5,"*",12,0
"Sierra Leone","*","*",0,0,0,0,0
"Singapore",347907,167099,164357,102246,5438,56672,16451
"Sint Maarten (1)",165,134,31,"*",5,25,1
"Slovakia",314,51,231,226,5,"*",33
"Slovenia",2176,1138,775,383,24,367,263
"Solomon Islands","*","*","*",0,0,"*",0
"Somalia","*","*",0,0,0,0,0
"South Africa",22393,10346,11841,9862,1578,401,205
"South Sudan","*","*",0,0,0,0,0
"Spain",59953,17939,40858,35684,1568,3606,1157
"Sri Lanka",1039,29,1010,1010,0,"*",0
"Sudan","*","*",0,0,0,0,0
"Suriname",163,68,51,3,8,40,44
"Swaziland",158,9,149,57,10,82,0
"Sweden",180244,130441,49530,40633,121,8775,274
"Switzerland",823897,412722,377657,213546,17312,146799,33518
"Syria",4,4,"*",0,0,"*",0
"Taiwan",564735,55862,505332,182593,227195,95544,3540
"Tajikistan",1,1,0,0,0,0,0
"Tanzania",1698,13,1685,1682,0,3,0
"Thailand",79193,2630,64173,53705,3902,6567,12390
"Togo",1,1,"*",0,0,"*",0
"Tokelau","*","*",0,0,0,0,0
"Tonga",2,1,"*",0,0,"*","*"
"Trinidad and Tobago",9748,2559,6781,2857,964,2960,408
"Tunisia",1089,871,218,217,0,1,0
"Turkey",59367,645,22928,22886,1,41,35793
"Turkmenistan","*","*",0,0,0,0,0
"Turks and Caicos Islands",643,408,230,34,17,179,6
"Uganda",1088,18,552,433,16,103,518
"Ukraine",2270,38,2232,2194,0,38,"*"
"United Arab Emirates",147089,80452,57652,49874,786,6991,8985
"United Kingdom",1493215,844156,607737,199636,11548,396553,41322
"Uruguay",9707,2070,6185,4492,526,1168,1452
"Uzbekistan",4,3,"*",0,0,"*",0
"Vanuatu",23,3,7,7,0,"*",13
"Venezuela",5609,3193,2231,76,65,2091,185
"Vietnam",13604,35,13570,13568,"*",1,"*"
"Wallis and Futuna","*","*",0,0,0,0,0
"West Bank and Gaza","*","*",0,0,0,0,0
"Yemen",80,2,78,77,0,1,0
"Zambia",175,2,173,173,0,"*",0
"Zimbabwe",7,6,1,0,0,1,0
"International and regional organizations",88007,5257,67929,47488,7921,12521,14821
"Country Unknown",64350,513,63836,"*",4,63833,0
""
"Total",18411560,7189442,10291671,5467555,980212,3843904,930446
""
"of which: Holdings of foreign official"
"institutions",5575278,952306,4259968,3662609,426493,170866,363004
""
"Totals by Region:"
"Total Africa",57331,19651,29593,24717,2387,2488,8086
"Total Asia",6173684,1481402,4416002,3196430,738059,481513,276280
"Total Caribbean",2288894,1182885,961448,239539,66115,655795,144561
"Total Europe",7813310,3349920,4038598,1501339,138483,2398777,424792
"Total Latin America",565181,125067,400075,356046,19087,24942,40039
"Canada",1060832,810003,237856,67282,5054,165519,12973
"Australia/Oceania",299971,214743,76334,34714,3103,38517,8894
"Country Unknown",64350,513,63836,"*",4,63833,0
"International and regional organizations",88007,5257,67929,47488,7921,12521,14821
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
