                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of
security, as of June 30, 2017
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Afghanistan                                            1176               8            1168               0               0               1               0
  Albania                                                 472               3             467               0               0               1               0
  Algeria                                                  19              19               0               0               0               *               0
  Andorra                                                2150             947             521               1              40             641               1
  Angola                                                  783             602               0               0               0             181               0
  Anguilla                                              15520           15288               8               1              16             134              73
  Antigua and Barbuda                                     195             137               2              10               *              45               *
  Argentina                                              7095            4716             965               7               9            1396               2
  Armenia                                                 622               6             614               *               0               1               0
  Aruba                                                  1270             634              34             134              15             223             231
  Australia                                            262299          193409           30477             203            2237           32662            3311
  Austria                                               19655           10977            4125              12             483            3942             116
  Azerbaijan                                             6499            1182             541               0               0            4776               0
  Bahamas                                               46488           21195            5811             908            1069           14124            3382
  Bahrain                                                1538             820             403               1             131             146              39
  Bangladesh                                                7               7               0               0               0               1               0
  Barbados                                              23105            1358            1399              72            1393            7420           11464
  Belarus                                                 151               9             142               0               0               0               0
  Belgium                                              675689           38116           84726            3204            1831          533629           14182
  Belize                                                  658             414              51               1               1             191               *
  Benin                                                     *               *               0               0               0               *               0
  Bermuda                                              294164           95341           46259            3612           23156          104231           21566
  Bhutan                                                  100              53              46               0               0               1               0
  Bolivia                                                1127             213             431             163               1             320               *
  Bonaire, Sint Eustatius & Saba (1)                      109              99               2               *               0               8               0
  Bosnia and Herzegovina                                    1               1               0               0               0               *               0
  Botswana                                               1998             605            1369               2               *              21               0
  Brazil                                               258192            4699          252210             463               2             817               1
  British Indian Ocean Territory                            *               *               0               0               0               *               0
  British Virgin Islands                               154735          111724           22495             183             939           17834            1560
  Brunei                                                 5255            4269             235               *               1             615             135
  Bulgaria                                                169             151              11               0               *               8               *
  Burkina Faso                                            178             178               0               0               0               0               0
  Burma                                                   224               2             222               0               *               *               0
  Burundi                                                   *               *               0               0               0               0               0
  Cambodia                                               2268               5            2048               0               0             215               0
  Cameroon                                                  3               3               0               0               0               0               0
  Canada                                              1047859          810003           67282            1408            3646          140632           24888
  Cape Verde                                                4               *               0               0               0               4               0
  Cayman Islands                                      1585000          927697          158039            7786           24897          363283          103298
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 47738           23876           21072              26               9            2748               6
  China, mainland (2)                                 1537758          193996         1144081            5847          177546           12887            3401
  Colombia                                              44967           13169           28235             290            1026            2245               2
  Comoros                                                 189             189               0               0               0               0               0
  Congo (Brazzaville)                                       2               2               0               0               0               0               0
  Congo (Kinshasa)                                         39               4               0              32               0               3               0
  Cook Islands                                            768             701               1               *               *              65               1
  Costa Rica                                             2833             890            1633               5               5             299               1
  Cote d`Ivoire (Ivory Coast)                               4               4               0               0               0               0               0
  Croatia                                                1319             230            1088               0               0               1               0
  Cuba                                                      *               *               0               0               0               0               0
  Curacao (1)                                            5782            3385             780             362              25            1208              22
  Cyprus                                                  589             466              91               1               0              31               0
  Czech Republic                                        23506            2791           20631               0               0              85               0
  Denmark                                              123204           82724           17213              39             331           22158             740
  Djibouti                                                  1               1               0               0               0               0               0
  Dominica                                                 54              37               *               *               0              17               *
  Dominican Republic                                     1797             384            1070               2               4             337               1
