                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2017            2018            2019            2020            2021            2022            2023            2024
  Afghanistan                                          1               2               2               1               4               1               1               1
  Albania                                              *               *               *               *               *               1               1               1
  Algeria                                              1               1               1               1               1               1               1               1
  Andorra                                              2               2               2               2               2               2               3               3
  Angola                                               1               1               3               2               2               1               1               2
  Anguilla                                            17               3               6               7              11              13              12               1
  Antigua and Barbuda                                  *               *               *               1               *               *               *               1
  Argentina                                            7              11              19              13              14              13              18              20
  Armenia                                              1               1               1               1               1               1               1               1
  Aruba                                                1               1               1               1               1               2               2               2
  Australia                                          271             303             344             352             467             572             571             712
  Austria                                             20              23              28              24              35              32              39              40
  Azerbaijan                                           7               8               7              11              11              13              23              23
  Bahamas                                             52              36              39              65              65              76              72             129
  Bahrain                                              2               2               2               2               3               2               2               1
  Bangladesh                                           1               1               1               1               1               6               5               4
  Barbados                                            24              21              13              12              14              16              16              20
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                            691             739             780             852             925             873             980            1025
  Belize                                               1               1               1               1               1               1               2               2
  Benin                                                *               *               *               *               *               *               *               *
  Bermuda                                            318             317             349             367             383             344             364             404
  Bhutan                                               *               *               *               *               *               *               *               *
  Bolivia                                              2               2               3               2               1               1               1               1
  Bonaire, Sint Eustatius and Saba                     *               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             2               2               2               1               1               1               2               2
  Brazil                                             277             310             322             276             266             245             246             252
  British Indian Ocean Territory                       *               *               *               *               *               *               *               *
  British Virgin Islands                             166             175             178             170             206             193             220             260
  Brunei                                               5               6               4               5               7               6               3               5
  Bulgaria                                             *               *               *               *               1               1               1               1
  Burkina Faso                                         *               *               *               *               *               5              18               *
  Burma                                                *               *               *               *               *               *               *               *
  Burundi                                              *               *               *               *               0               0               *               *
  Cambodia                                             2               2               2               5               5              19               7               7
  Cameroon                                             *               *               *               *               *               *               *               *
  Canada                                            1061            1210            1262            1335            1977            1844            2055            2508
  Cape Verde                                           *               *               *               *               *               *               *               *
  Cayman Islands                                    1687            1757            1877            1903            2465            2240            2365            2728
  Central African Republic                             *               *               *               *               *               0               0               *
  Chad                                                 *               *               *               *               *               *               *               *
  Chile                                               57              55              56              59              68              70              72              82
  China, mainland                                   1541            1607            1543            1569            1575            1473            1432            1401
  Colombia                                            45              44              50              47              59              58              62              86
  Comoros                                              *               *               *               *               *               *               *               *
  Congo (Brazzaville)                                  *               *               *               *               *               *               *               *
  Congo (Kinshasa)                                     *               *               *               *               *               *               *               *
  Cook Islands                                         1               1               *               *               1               *               *               *
  Costa Rica                                           3               3               4               4               6               6               9              10
  Cote d`Ivoire                                        *               *               *               *               *               2               1               1
  Croatia                                              2               2               2               3               3               3               3               3
