                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Foreign Holdings of U.S. Equities, by Country and Equity Type,
as of June 28, 2019
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Mongolia                                                 26               4              23               *
  Montenegro (1)                                            3               2               *               *
  Montserrat                                               22              20               2               *
  Morocco                                                 292             257              32               2
  Mozambique                                               10               9               1               0
  Namibia                                                 584             540              42               1
  Nauru                                                     5               4               1               0
  Nepal                                                    18               3               7               9
  Netherlands                                          284296          186068           76184           22044
  New Caledonia                                             9               1               8               0
  New Zealand                                           27472           21746            5589             138
  Nicaragua                                                84              32              39              13
  Niger                                                     2               1               1               0
  Nigeria                                                 106              72              19              16
  Niue                                                      *               *               *               0
  Norway                                               308578          289493           18790             294
  Oman                                                   9544            1718            7260             566
  Pakistan                                                 61              43              18               *
  Palau                                                   153              99              47               8
  Panama                                                14388            7278            5886            1224
  Papua New Guinea                                          2               2               *               *
  Paraguay                                                166              71              86               9
  Peru                                                  12892             473           12038             380
  Philippines                                            4100             750            3107             243
  Pitcairn Island                                           *               *               *               0
  Poland                                                 1050             928             116               6
  Portugal                                               5158            2169            2928              62
  Qatar                                                 12678           10646             809            1223
  Reunion                                                   *               *               *               0
  Romania                                                 130             109              20               1
  Russia                                                  395             255             134               6
  Rwanda                                                    *               *               *               0
  Saint Kitts and Nevis                                  5570            1417            3924             229
  Saint Lucia                                             242              68             163              10
  Saint Martin & Saint Barthelemy (1)                      20              13               7               1
  Saint Vincent and the Grenadines                        106              47              57               1
  Samoa                                                   257              47             202               7
  San Marino                                                *               0               *               0
  Sao Tome and Principe                                     4               4               1               *
  Saudi Arabia                                          93169           57225           23876           12069
  Senegal                                                   6               3               2               1
  Serbia and Montenegro (1)                                13               8               5               *
  Seychelles                                              268              81             150              36
  Sierra Leone                                              1               *               1               0
  Singapore                                            180239          138816           22978           18446
  Sint Maarten (1)                                         82              39              39               3
  Slovakia                                                 41              29              11               1
  Slovenia                                               1309             913             393               3
  Solomon Islands                                           *               *               *               0
  Somalia                                                   *               *               *               0
  South Africa                                          12280            9446            2531             303
  Spain                                                 20864           15847            4095             922
  Sri Lanka                                                35              25              10               *
  Sudan                                                     *               *               *               0
  Suriname                                                 97              16              71              10
  Swaziland                                                 3               1               2               *
  Sweden                                               180384          165945            8172            6267
  Switzerland                                          449986          382219           57882            9885
  Syria                                                     3               1               2               0
  Taiwan                                                67591           31108           33678            2805
  Tajikistan                                                *               *               *               0
  Tanzania                                                 11               4               7               *
  Thailand                                              10659            4135            6418             105
  Togo                                                      1               1               *               0
  Tokelau                                                   *               *               0               0
  Tonga                                                     *               *               *               *
  Trinidad and Tobago                                    3518            2415            1060              42
  Tunisia                                                1102              10            1092               *
  Turkey                                                  992             396             585              10
  Turkmenistan                                              *               *               *               *
  Turks and Caicos Islands                                828             227             547              54
  Uganda                                                   20              17               3               0
  Ukraine                                                  44              12              28               4
  United Arab Emirates                                 100643           84517            9194            6933
  United Kingdom                                      1001855          858140           85685           58030
  Uruguay                                                2447            1017            1142             288
  Uzbekistan                                               12               *              11               *
  Vanuatu                                                   3               *               3               0
  Venezuela                                              3737            2132            1276             329
  Vietnam                                                  40              28              11               *
  Wallis and Futuna                                         *               *               0               0
  West Bank and Gaza                                        6               4               2               *
  Yemen                                                     *               *               *               0
  Zambia                                                    2               2               1               0
  Zimbabwe                                                  6               1               6               0
  International and regional organizations               9184            3870            3688            1626
  Country Unknown                                        1058             423             599              36

  Total                                               8630310         6586787         1388672          654852

  of which: Holdings of foreign official
  institutions                                        1116660          974385           98109           44166

  Totals by Region:
  Total Africa                                          17576           12431            4671             474
  Total Asia                                          1818766         1378946          295792          144027
  Total Caribbean                                     1353285          699473          392923          260890
  Total Europe                                        4071628         3494364          408020          169244
  Total Latin America                                  110912           31112           72783            7018
  Canada                                               955893          739254          167823           48816
  Australia/Oceania                                    292008          226915           42374           22720
  Country Unknown                                        1058             423             599              36
  International and regional organizations               9184            3870            3688            1626


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.
    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.
    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.
    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



