"Table A3.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Ethiopia","*","*",0,0,0,"*","*","*"
"Falkland Islands","*","*","*","*","*",0,"*",0
"Faroe Islands","*","*",0,0,0,0,0,0
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",12,13,11,12,10,12,13,14
"France",144,177,183,303,307,295,372,460
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia",0,0,0,0,0,"*","*",0
"Georgia","*",0,"*","*",0,"*","*","*"
"Germany",209,194,199,222,202,198,197,205
"Ghana",1,1,3,3,3,2,1,2
"Gibraltar","*","*","*","*","*",1,1,1
"Greece",2,3,2,2,2,3,3,2
"Grenada","*","*","*","*","*","*","*",1
"Guadeloupe","*","*","*",0,0,0,0,0
"Guatemala",4,8,10,8,9,13,13,18
"Guernsey",10,11,11,11,14,17,19,20
"Guinea","*","*",0,0,0,0,0,0
"Guinea-Bissau",0,0,0,0,0,"*",0,0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",2,2,1,2,1,2,2,2
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,2,4,3,4,4,4
"Hong Kong",210,257,303,280,226,236,273,293
"Hungary",2,4,3,3,2,3,3,4
"Iceland",2,2,2,2,1,"*","*","*"
"India",142,161,152,210,207,234,234,212
"Indonesia",27,28,29,28,26,22,32,38
"Iran","*",0,0,0,0,0,"*",0
"Iraq",11,16,13,9,16,31,23,11
"Ireland",622,520,470,505,459,486,541,549
"Isle of Man",1,1,1,1,1,1,2,2
"Israel",35,46,52,65,59,59,77,105
"Italy",54,59,58,60,55,61,64,81
"Jamaica",1,1,1,1,1,1,1,2
"Japan",1436,1622,1815,1832,1674,1588,1541,1589
"Jersey",7,7,6,6,7,7,8,10
"Jordan",1,1,1,1,2,2,3,3
"Kazakhstan",4,2,1,2,1,3,5,6
"Kenya",3,3,6,6,5,4,3,5
"Korea, South",174,206,220,227,185,186,196,204
"Kosovo","*","*","*","*","*","*","*","*"
"Kuwait",61,65,65,62,62,71,79,107
"Kyrgyzstan",0,0,"*",0,0,0,0,0
"Laos","*","*",0,0,0,"*",0,"*"
"Latvia",2,2,2,2,1,4,1,1
"Lebanon","*","*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia","*","*","*","*","*","*","*","*"
"Libya",1,"*",2,2,1,1,1,1
"Liechtenstein",1,1,1,1,1,1,1,2
"Lithuania",3,2,2,2,2,3,2,2
"Luxembourg",774,871,917,960,823,877,946,1124
"Macau",3,3,3,2,3,3,3,9
"Macedonia","*","*","*",0,"*",0,0,0
"Madagascar","*",1,1,1,1,1,1,2
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",28,26,36,33,27,32,33,37
"Maldives","*","*","*","*","*","*","*","*"
"Malta",1,1,1,2,2,1,2,2
"Marshall Islands","*","*","*","*","*","*",1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius",2,2,1,1,1,1,2,2
"Mexico",49,57,49,55,50,75,99,94
"Moldova",1,1,1,2,2,2,3,2
"Monaco","*","*",1,1,1,1,1,1
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro","*","*",0,0,"*","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco",2,5,4,4,4,4,3,4
"Mozambique","*","*","*","*","*",1,"*",1
"Namibia","*","*","*","*","*","*","*","*"
"Nepal",1,1,"*",1,1,1,3,4
"Netherlands",123,133,159,173,150,154,157,179
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",8,9,9,10,8,8,13,18
"Nicaragua","*","*","*","*","*","*","*","*"
"Nigeria",4,5,5,5,6,7,7,8
"Norway",93,143,141,167,158,182,224,283
"Oman",12,9,8,7,7,8,8,8
"Pakistan",1,"*","*",1,1,"*","*","*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",9,11,9,9,9,14,19,18
"Papua New Guinea","*","*","*","*","*",1,"*","*"
"Paraguay","*","*",2,8,7,7,6,7
"Peru",20,23,21,31,33,37,43,43
"Philippines",32,30,42,50,49,48,59,56
"Poland",41,25,31,43,35,44,43,58
"Portugal",3,3,5,6,6,6,7,3
"Qatar",2,3,6,9,8,17,28,24
"Romania",8,7,5,5,8,8,8,10
"Russia",9,5,3,"*","*","*","*","*"
"Rwanda","*","*","*",1,1,1,1,1
"Saint Kitts and Nevis",2,2,1,1,1,2,4,4
"Saint Lucia","*","*","*","*","*",1,1,1
"Saint Martin and Saint Barthelemy","*","*","*","*","*","*","*","*"
"Saint Vincent and the Grenadines","*","*","*","*","*","*","*","*"
"Samoa","*","*","*","*","*","*","*","*"
"San Marino",0,"*","*","*","*","*","*","*"
"Sao Tome and Principe",0,0,0,"*","*","*","*","*"
"Saudi Arabia",121,150,111,116,110,111,131,119
"Senegal","*","*",0,0,0,"*","*","*"
"Serbia",2,2,2,1,1,2,2,2
"Seychelles","*","*","*","*","*","*","*","*"
"Sierra Leone",0,0,0,0,0,0,0,"*"
"Singapore",162,171,187,227,226,257,303,345
"Sint Maarten","*","*","*","*","*","*","*","*"
"Slovakia","*","*","*","*","*",1,1,1
"Slovenia",1,1,1,1,1,1,1,1
"Solomon Islands","*","*","*","*","*","*","*","*"
"South Africa",18,10,10,10,15,16,13,12
"Spain",36,45,46,37,34,63,74,74
"Sri Lanka",3,2,3,"*","*","*","*","*"
"Suriname","*","*","*","*","*","*","*","*"
"Eswatini","*","*","*","*","*","*","*","*"
"Sweden",53,55,44,48,56,50,57,58
"Switzerland",331,322,323,391,355,341,343,376
"Syria","*","*",0,0,0,0,0,0
"Taiwan",510,554,614,642,590,599,632,677
"Tajikistan",0,0,"*","*","*","*","*","*"
"Tanzania",2,1,2,2,2,2,2,2
"Thailand",54,77,83,63,48,62,59,75
"Togo","*","*","*","*","*","*","*",0
"Tonga","*",0,0,0,0,0,0,0
"Trinidad and Tobago",6,7,6,5,5,6,7,7
"Tunisia","*","*","*","*","*","*","*","*"
"Turkey",13,2,2,1,1,2,3,6
"Turkmenistan",0,"*",0,0,0,0,0,0
"Turks and Caicos Isl.","*","*","*","*",1,1,1,1
"Uganda","*",1,1,1,1,1,1,1
"Ukraine",1,4,6,6,8,19,15,13
"United Arab Emirates",57,46,25,43,35,52,66,43
"United Kingdom",629,716,891,1003,1030,1071,1096,1314
"Uruguay",7,7,6,4,5,11,15,16
"Uzbekistan","*","*","*","*","*","*","*","*"
"Vanuatu","*","*","*","*","*","*","*","*"
"Venezuela",2,3,2,2,1,2,2,2
"Vietnam",20,25,30,39,39,34,28,30
"West Bank and Gaza",0,"*",0,0,0,0,"*",0
"Western Sahara",0,0,0,0,0,"*",0,0
"Yemen","*","*","*","*","*","*",0,0
"Zambia","*","*","*","*","*","*","*","*"
"Zimbabwe","*","*","*","*","*","*","*","*"
"Int. and reg. org.",61,58,61,62,73,90,112,109
"Country Unknown",79,55,75,69,56,95,49,117
""
"Total",10282,10991,11559,12407,11591,11967,12688,13840
""
"Totals by Region:"
"Total Africa",40,38,42,41,42,43,39,44
"Total Asia",4500,4863,5117,5267,4828,4793,4844,4872
"Total Caribbean",893,998,1061,1115,1018,979,1133,1343
"Total Europe",3918,4108,4361,4846,4565,4829,5161,5916
"Euro area countries",2649,2728,2811,3082,2818,2996,3246,3675
"Total Latin America",451,499,422,450,425,477,526,523
"Total Oceania",78,83,84,95,103,94,120,121
""
""
"* Greater than zero but less than $500 million."
"n.a. Not available."
""
""
""
""
