"Table A9.  Foreign Holdings of U.S. Long-Term Asset-Backed Securities, by Country and"
"Security Type, as of June 30, 2022"
"Millions of dollars"
"","Total","Agency","","Corporate ABS"
"Countries and Regions","LT ABS","ABS","Total","MBS","NonMBS"
"Andorra","*",0,"*",0,"*"
"Anguilla",12,12,0,0,0
"Antigua and Barbuda",35,35,"*",0,"*"
"Argentina",4,4,1,"*","*"
"Aruba",474,135,339,1,338
"Australia",12565,5504,7061,4816,2245
"Austria",169,159,10,2,8
"Azerbaijan",181,181,0,0,0
"Bahamas",15725,15247,479,414,65
"Bahrain",6,1,5,2,3
"Barbados",5568,1559,4009,2021,1988
"Belgium",16465,7576,8889,3135,5754
"Belize",2,"*",2,0,2
"Bermuda",37724,16919,20805,13451,7354
"Bolivia",1,1,"*",0,"*"
"Botswana",77,25,51,39,12
"Brazil",2,1,1,"*",1
"British Virgin Islands",3204,1238,1966,1510,457
"Brunei",97,0,97,36,61
"Bulgaria",1,1,0,0,0
"Cambodia",1730,77,1653,1162,491
"Canada",110838,75756,35083,23151,11932
"Cayman Islands",104922,30083,74839,52683,22155
"Chile",415,392,23,1,22
"China, mainland",242155,238408,3747,2654,1093
"Colombia",458,368,89,7,82
"Cook Islands",1,0,1,0,1
"Costa Rica",3,2,1,0,1
"Curacao",18,6,11,7,4
"Cyprus","*","*","*",0,"*"
"Czech Republic",1682,1682,"*","*",0
"Denmark",540,214,326,59,267
"Dominica",13,13,"*",0,"*"
"Dominican Republic",2,1,1,"*","*"
"Ecuador",3,2,"*","*","*"
"Egypt","*","*",0,0,0
"El Salvador",3,3,"*","*","*"
"Federated States of Micronesia",6,6,0,0,0
"Finland",4,0,4,0,4
"France",28765,16527,12238,6829,5410
"French Polynesia","*","*",0,0,0
"Germany",13166,5892,7273,673,6601
"Gibraltar",16,1,16,0,16
"Greece",1,1,"*",0,"*"
"Grenada",23,23,0,0,0
"Guatemala",1767,1743,24,22,2
"Guernsey",383,104,279,73,206
"Guyana","*","*","*",0,"*"
"Haiti",5,1,4,1,3
"Honduras","*","*","*","*","*"
"Hong Kong",11087,8661,2426,1506,920
"Hungary",2164,2164,0,0,0
"India",216,213,3,3,"*"
"Indonesia",7331,7239,92,7,84
"Ireland",56646,17341,39305,33228,6077
"Isle of Man",1,1,1,0,1
"Israel",2679,2562,117,98,18
"Italy",948,842,106,59,47
"Japan",248553,229403,19150,7196,11954
"Jersey",744,399,345,307,39
"Kazakhstan","*","*",0,0,0
"Korea, South",40635,35298,5337,3920,1417
"Kuwait",6046,3124,2921,1746,1176
"Latvia",1228,945,283,19,264
"Lebanon","*","*",0,0,0
"Liechtenstein","*","*",0,0,0
"Lithuania",202,202,0,0,0
"Luxembourg",65770,40584,25186,10639,14547
"Macau",430,355,75,44,31
"Malaysia",16184,16145,39,11,27
"Malta",5,"*",5,0,5
"Marshall Islands",18,4,14,1,13
"Mauritius",8,6,2,2,1
"Mexico",6607,6475,132,4,128
"Monaco",196,6,190,159,31
"Montenegro","*",0,"*",0,"*"
"Montserrat",4,4,0,0,0
"Namibia",2,2,0,0,0
"Netherlands",16285,14541,1744,1116,628
"New Zealand",993,741,252,165,87
"Nicaragua","*",0,"*",0,"*"
"Nigeria",263,263,"*","*",0
"Norway",315,7,309,105,204
"Oman",31,9,22,14,8
"Pakistan",17,0,17,17,0
"Palau",3,3,"*",0,"*"
"Panama",1090,621,469,360,109
"Paraguay","*","*",0,0,0
"Peru",153,153,1,"*",1
"Philippines",748,746,2,1,1
"Poland","*","*","*","*",0
"Portugal",1,"*",1,0,1
"Qatar",270,158,112,67,45
"Romania","*",0,"*",0,"*"
"Russia","*","*","*",0,"*"
"Saint Kitts and Nevis",65,36,29,28,1
"Saint Lucia",28,28,"*",0,"*"
"Saint Vincent and the Grenadines",18,18,0,0,0
"Saudi Arabia",1984,1334,650,389,261
"Seychelles","*","*","*",0,"*"
"Singapore",18270,3297,14973,5328,9646
"Sint Maarten","*","*","*",0,"*"
"Slovenia",4,0,4,0,4
"South Africa",705,626,79,0,79
"Spain",3903,3787,116,3,113
"Suriname","*","*","*",0,"*"
"Sweden",111,80,31,2,29
"Switzerland",21465,18849,2616,1703,913
"Taiwan",224912,221945,2967,2221,746
"Tanzania","*",0,"*",0,"*"
"Thailand",17370,17361,9,7,2
"Trinidad and Tobago",944,415,530,70,459
"Turks and Caicos Islands",62,43,19,4,16
"Uganda",86,29,57,52,5
"United Arab Emirates",403,233,170,75,95
"United Kingdom",107806,63834,43972,22716,21256
"Uruguay",441,437,5,4,1
"Venezuela",13,9,5,4,1
"Vietnam","*","*",0,0,0
"International and regional organizations",8171,4606,3565,297,3268
"Country Unknown",584,1,583,"*",582
""
"Total",1494453,1146090,348363,206444,141919
""
"of which: Holdings of foreign official"
"institutions",652172,629710,22462,10453,12009
""
"Totals by Region:"
"Total Africa",1141,951,190,93,97
"Total Asia",841152,786570,54582,26503,28079
"Total Caribbean",168845,65815,103030,70189,32841
"Total Europe",339171,195922,143249,80826,62422
"Total Latin America",10964,10212,752,402,350
"Canada",110838,75756,35083,23151,11932
"Australia/Oceania",13587,6258,7329,4982,2346
"Country Unknown",584,1,583,"*",582
"International and regional organizations",8171,4606,3565,297,3268
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
""
""
