"Table A1.  Foreign Holdings of U.S. Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan",1,1,1,2,2,1,4,1
"Albania","*","*","*","*","*","*","*",1
"Algeria",1,1,1,1,1,1,1,1
"Andorra",2,3,2,2,2,2,2,2
"Angola",1,1,1,1,3,2,2,1
"Anguilla",20,18,17,3,6,7,11,13
"Antigua and Barbuda","*","*","*","*","*",1,"*","*"
"Argentina",7,7,7,11,19,13,14,13
"Armenia","*","*",1,1,1,1,1,1
"Aruba",1,1,1,1,1,1,1,2
"Australia",242,237,271,303,344,352,467,572
"Austria",18,19,20,23,28,24,35,32
"Azerbaijan",8,7,7,8,7,11,11,13
"Bahamas",37,42,52,36,39,65,65,76
"Bahrain",3,2,2,2,2,2,3,2
"Bangladesh",1,"*",1,1,1,1,1,6
"Barbados",16,23,24,21,13,12,14,16
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",602,589,691,739,780,852,925,873
"Belize",1,1,1,1,1,1,1,1
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",287,307,318,317,349,367,383,344
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia",3,2,2,2,3,2,1,1
"Bonaire, Sint Eustatius & Saba","*","*","*","*","*","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",2,2,2,2,2,1,1,1
"Brazil",268,259,277,310,322,276,266,245
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",173,161,166,175,178,170,206,193
"Brunei",3,3,5,6,4,5,7,6
"Bulgaria","*","*","*","*","*","*",1,1
"Burkina Faso","*","*","*","*","*","*","*",5
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*",0,0
"Cambodia",2,2,2,2,2,5,5,19
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",992,951,1061,1210,1262,1335,1977,1844
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",1506,1525,1687,1757,1877,1903,2465,2240
"Central African Republic","*","*","*","*","*","*","*",0
"Chad","*","*","*","*","*","*","*","*"
"Chile",64,59,57,55,56,59,68,70
"China, mainland",1844,1630,1541,1607,1543,1569,1575,1473
"Colombia",59,48,45,44,50,47,59,58
"Comoros",1,"*","*","*","*","*","*","*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*",1,1,"*","*",1,"*"
"Costa Rica",4,3,3,3,4,4,6,6
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*",2
"Croatia",2,2,2,2,2,3,3,3
"Cuba","*","*","*","*","*","*","*","*"
"Curacao",4,6,6,7,7,7,7,7
"Cyprus",1,"*",1,1,1,2,5,4
"Czech Republic",8,11,24,23,27,32,30,29
"Denmark",105,117,125,123,138,157,254,183
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic",2,2,2,3,3,4,5,3
"East Timor",12,11,11,12,11,12,13,13
"Ecuador",1,1,1,1,1,2,1,1
"Egypt",5,3,9,21,20,20,18,5
"El Salvador",1,1,2,2,2,2,1,2
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia",1,1,"*",1,1,1,2,2
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",32,37,45,47,51,48,65,58
"France",274,229,292,329,373,399,682,622
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia",1,1,"*","*","*","*","*","*"
"Germany",344,373,427,456,396,421,562,522
"Ghana",1,1,1,2,2,4,3,3
"Gibraltar",1,1,1,1,1,1,1,1
"Greece",9,6,4,4,6,5,7,6
"Greenland","*","*","*","*","*","*",0,0
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe","*","*","*","*","*","*","*","*"
"Guatemala",3,3,5,5,9,11,9,10
"Guernsey",40,38,43,43,56,53,70,68
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau",0,0,0,0,0,0,"*","*"
"Guyana","*","*","*","*","*","*","*","*"
"Haiti",1,1,2,2,2,2,2,1
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras",1,1,1,1,2,3,4,4
"Hong Kong",298,305,350,364,397,455,471,391
"Hungary",2,3,3,3,5,5,6,4
"Iceland",2,3,3,3,3,3,3,2
"India",119,119,133,152,168,189,230,218
"Indonesia",25,25,34,29,30,31,34,34
"Iran","*","*","*","*","*","*","*","*"
"Iraq",30,15,16,26,35,32,21,32
"Ireland",831,931,1068,1149,1081,1182,1499,1387
"Isle of Man",2,2,3,2,3,3,13,4
"Israel",69,76,88,92,114,138,204,151
"Italy",67,78,78,90,101,107,132,113
"Jamaica",1,1,1,1,1,1,1,1
"Japan",1903,1960,1998,2044,2280,2553,2765,2474
"Jersey",27,30,25,25,25,24,37,31
"Jordan",1,"*",1,1,1,1,1,2
"Kazakhstan",39,27,29,12,9,6,3,9
"Kenya",1,1,1,3,4,6,6,5
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",209,236,282,316,366,414,570,535
"Kosovo","*","*","*","*","*","*","*","*"
"Kuwait",191,189,230,269,287,304,371,342
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia",2,2,2,2,2,2,3,2
"Lebanon","*","*","*","*","*","*","*","*"
"Lesotho","*","*","*","*","*","*","*","*"
"Liberia",1,1,1,1,1,1,1,1
"Libya","*","*",1,4,5,2,2,3
"Liechtenstein",3,3,4,5,2,9,14,10
"Lithuania","*","*","*",3,2,2,2,2
"Luxembourg",1297,1349,1398,1494,1623,1777,2301,1972
"Macau",3,4,4,5,4,5,6,5
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*",1,1,1,1
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",33,36,41,42,41,55,60,55
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta",2,1,1,2,2,3,4,4
"Marshall Islands",1,1,1,1,1,1,3,2
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
