                                                                       
                                                                       
                                                                       
                                                                       
                                                                       
Table A10.  Foreign Holdings of U.S. Short-Term Securities, by Country and Security Type, as
of June 30, 2022
 Millions of dollars
                                                                                                               of which: Commercial Paper
                                                                                                 Total                        Asset-backed
 Countries and Regions                         Total ST         Treasury         Agency        Corporate        Total CP           CP
  Albania                                                   *               *               0               0               0               0
  Algeria                                                 678             678               0               0               0               0
  Andorra                                                  19              19               0               0               0               0
  Anguilla                                                200             200               0               0               0               0
  Antigua and Barbuda                                      10              10               0               0               0               0
  Argentina                                              3235            3226               0               9               0               0
  Armenia                                                  54              54               0               0               0               0
  Aruba                                                    60              40               1              19              10               0
  Australia                                              8900            7041              67            1792             839              54
  Austria                                                 785             784               0               1               1               0
  Azerbaijan                                              562             562               0               0               0               0
  Bahamas                                               28772           27394               4            1374             454               3
  Bahrain                                                 825             825               0               *               *               0
  Bangladesh                                              997             996               0               *               0               0
  Barbados                                                600             436               0             164             101              85
  Belgium                                               41299           40882               0             417               9               0
  Belize                                                   46              43               0               2               0               0
  Bermuda                                               39149           37910             196            1043             606             107
  Bolivia                                                 245             148               0              97               2               0
  Botswana                                                 66              66               0               0               0               0
  Brazil                                                  783             768               0              15               0               0
  British Virgin Islands                                 8142            7630             104             408             254              10
  Brunei                                                 1181            1181               0               0               0               0
  Bulgaria                                                  *               *               0               0               0               0
  Burkina Faso                                           1099               0               0            1099             149               0
  Cambodia                                                 10               2               0               8               0               0
  Canada                                                21010           16825            1073            3113            2306             706
  Cayman Islands                                       143344          126476            2257           14612            4892             924
  Chile                                                  6917            6279               0             638               5               0
  China, mainland                                        2292            2219              10              64              20               0
  Colombia                                                850             809               3              37              34               0
  Cook Islands                                              3               3               0               0               0               0
  Costa Rica                                              307             271               0              36              15               0
  Croatia                                                 576             576               0               *               0               0
  Curacao                                                1815            1808               0               7               0               0
  Cyprus                                                  160             158               0               2               0               0
  Czech Republic                                           94              94               0               0               0               0
  Denmark                                                 887             758               0             130              55              20
  Dominica                                                  2               2               0               0               0               0
  Dominican Republic                                       60              50               0              10               *               0
  Ecuador                                                  76              60               0              16              12               0
  Egypt                                                  4600            4600               0               0               0               0
  El Salvador                                             489             462               0              27              25              25
  Estonia                                                  86              86               0               0               0               0
  Finland                                                 120             120               0               0               0               0
  France                                                17861           17317               0             545             512               6
  French Polynesia                                          2               2               0               0               0               0
  Gabon                                                     1               1               0               0               0               0
  Gambia                                                  160             160               0               0               0               0
  Germany                                                8109            7790               1             318             239             121
  Ghana                                                   127             127               0               0               0               0
  Gibraltar                                                25              24               0               1               0               0
  Greece                                                  757             757               0               *               0               0
  Grenada                                                   4               4               0               0               0               0
  Guatemala                                              1158             210               0             948             527               0
  Guernsey                                               1926            1753              98              74              32              24
  Haiti                                                    32              17              15               1               0               0
  Honduras                                                 12              11               0               1               0               0
  Hong Kong                                             22722           22682               7              33              10               0
  Hungary                                                 504             504               0               0               0               0
  Iceland                                                   *               0               0               *               0               0
  India                                                  2833            2729               0             104              35               0
  Indonesia                                              4210            3473               0             737             315              65
