                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2021
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Afghanistan                                            3226               6            3221               0               0               *               0
  Albania                                                 493              18             475               0               0               0               0
  Algeria                                                  65              65               0               0               0               *               0
  Andorra                                                2007            1277             175               0               0             555               *
  Angola                                                 2034             322            1649               0               0              63               0
  Anguilla                                              10235            9935              78               *               0             221               0
  Antigua and Barbuda                                     390             129             234               6               *              21               *
  Argentina                                             11456            9362             544               6              18            1525               1
  Armenia                                                 818              19             799               0               0               *               0
  Aruba                                                  1278             423              75              57             136             342             245
  Australia                                            458297          374030           37205             294            4469           34586            7713
  Austria                                               34139           27292            3563              12             507            2740              24
  Azerbaijan                                            10371            3554            6197              82               0             539               0
  Bahamas                                               52917           30731            2420             238           11781            5718            2029
  Bahrain                                                1827            1662              79               *               2              75               8
  Bangladesh                                               11              10               0               0               0               *               0
  Barbados                                              13398            2197            1202             235             369            5901            3493
  Belarus                                                 177              57             120               0               0               0               0
  Belgium                                              891352          104005          195488            2474            5997          574918            8469
  Belize                                                 1351            1108              16               1               1             225               2
  Benin                                                     *               *               0               0               0               0               0
  Bermuda                                              349370          137899           35261            1954           21740          129918           22598
  Bhutan                                                   56              46               4               0               0               7               0
  Bolivia                                                 860             480              94               *               1             284               *
  Bonaire, Sint Eustatius & Saba                           23              15               0               0               0               8               0
  Bosnia and Herzegovina                                    3               3               0               0               0               *               0
  Botswana                                               1127             311             409               1              43             303              60
  Brazil                                               265603           15790          248444             676               1             685               6
  British Indian Ocean Territory                            2               2               0               0               0               0               0
  British Virgin Islands                               200981          149131           30444              99            1184           18344            1778
  Brunei                                                 7031            4492            2043               0               0             411              85
  Bulgaria                                                526             387             127               0               1              11               0
  Burkina Faso                                              1               1               0               0               0               0               0
  Burma                                                   164               7             157               0               0               0               0
  Cambodia                                               4899              23            4689              20               0             168               0
  Cameroon                                                  3               3               0               0               0               0               0
  Canada                                              1956972         1494656          149733             935           80181          203133           28335
  Cape Verde                                               91               2              89               0               0               0               0
  Cayman Islands                                      2339557         1538498          141003            7831           28860          512780          110586
  Central African Republic                                  *               *               0               0               0               0               0
  Chad                                                      *               *               0               0               0               0               0
  Chile                                                 62805           27369           32721              12             325            2372               7
  China, mainland                                     1571570          273271         1057795            5074          212726           18181            4524
  Colombia                                              58390           20072           34932             686             617            2057              26
  Comoros                                                   3               3               0               0               0               0               0
  Congo (Brazzaville)                                       1               1               0               0               0               0               0
  Congo (Kinshasa)                                         57               1               0               0               0              56               0
  Cook Islands                                            692             646               3               0               0              39               4
