                                                                                    
                                                                                    
                                                                                    
                                                                                    
                                                                                    
Table A3.  Foreign Holdings of U.S. Long-Term Debt Securities, by Country, as of End-June

 Billions of dollars
                                              June            June            June            June            June            June            June            June
 Countries and Regions                        2014            2015            2016            2017            2018            2019            2020            2021
  Afghanistan                                          1               1               1               1               2               2               1               3
  Albania                                              1               *               *               *               *               *               *               *
  Algeria                                              *               *               *               *               *               *               *               *
  Andorra                                              1               1               1               1               1               1               1               1
  Angola                                               *               1               *               *               1               2               1               2
  Anguilla                                             *               *               *               *               *               *               1               *
  Antigua and Barbuda                                  *               *               *               *               *               *               *               *
  Argentina                                            3               2               2               2               4               7               3               2
  Armenia                                              *               *               *               1               1               1               1               1
  Aruba                                                1               1               1               1               1               1               1               1
  Australia                                           55              56              58              69              70              74              75              84
  Austria                                              7               9              10               9               8               7               7               7
  Azerbaijan                                           7               7               6               5               5               5               8               7
  Bahamas                                              8              12              21              25              11              11              33              22
  Bahrain                                              1               1               1               1               1               *               *               *
  Bangladesh                                           *               *               *               *               *               *               *               *
  Barbados                                             8              13              21              22              19              10              10              11
  Belarus                                              *               *               *               *               *               *               *               *
  Belgium                                            666             555             497             638             654             695             747             787
  Belize                                               *               *               *               *               *               *               *               *
  Benin                                                *               0               *               *               *               *               *               0
  Bermuda                                            184             175             193             199             193             213             223             211
  Bhutan                                               0               0               0               *               *               *               *               *
  Bolivia                                              1               1               *               1               1               1               *               *
  Bonaire, Sint Eustatius & Saba                       *               *               *               *               *               *               *               *
  Bosnia and Herzegovina                               *               *               *               *               *               *               *               *
  Botswana                                             2               2               2               1               1               1               1               1
  Brazil                                             229             239             240             253             297             313             253             250
  British Indian Ocean Territory                       *               *               0               *               *               *               *               0
  British Virgin Islands                              31              38              41              43              48              52              56              52
  Brunei                                               1               1               1               1               1               1               2               3
  Bulgaria                                             *               *               *               *               *               *               *               *
  Burkina Faso                                         0               *               0               0               0               0               0               0
  Burma                                                *               *               *               *               *               *               *               *
  Burundi                                              *               0               0               0               0               0               0               0
  Cambodia                                             *               2               2               2               2               2               5               5
  Canada                                             195             207             235             238             263             289             335             462
  Cape Verde                                           0               0               *               *               *               *               *               *
  Cayman Islands                                     486             525             626             657             604             694             720             801
  Central African Republic                             *               0               0               0               0               0               0               0
  Chad                                                 *               0               0               0               0               0               0               0
  Chile                                               23              25              30              24              23              30              28              35
  China, mainland                                   1489            1510            1450            1344            1385            1350            1301            1298
  Colombia                                            34              39              34              32              29              35              32              38
  Comoros                                              0               0               0               0               0               *               0               0
  Congo (Brazzaville)                                  *               *               *               0               0               *               *               0
  Congo (Kinshasa)                                     *               *               *               *               *               *               *               *
  Cook Islands                                         *               *               *               *               *               *               *               *
  Costa Rica                                           2               2               2               2               2               2               2               2
  Croatia                                              *               1               1               1               1               1               1               2
  Curacao                                              2               2               2               2               2               2               2               2
  Cyprus                                               *               *               *               *               *               *               *               *
  Czech Republic                                       6               6               9              21              19              23              25              21
  Denmark                                             45              43              47              40              36              37              39              38
  Dominica                                             *               *               *               *               *               *               *               *
  Dominican Republic                                   1               1               2               1               2               3               3               4
  East Timor                                          10               8               8               8               8               8               8               9
  Ecuador                                              *               *               *               *               *               1               1               *
  Egypt                                                4               4               1               2               2               2               2               2
  El Salvador                                          1               1               1               1               1               1               1               *
  Equatorial Guinea                                    0               *               0               0               0               *               *               *
  Estonia                                              *               *               *               *               *               1               *               *
  Ethiopia                                             *               *               *               *               *               *               0               0
  Falkland Islands                                     *               *               *               *               *               *               *               *
  Faroe Islands                                        *               0               0               *               *               *               0               0
  Federated States of Micronesia                       *               *               *               *               *               *               *               *
  Fiji                                                 0               *               *               *               *               *               *               *
  Finland                                              8              13              15              17              12              13              11              12
  France                                             100              98              97             122             144             177             183             303
  French Guiana                                        *               *               *               *               *               *               *               *
  French Polynesia                                     *               *               *               *               *               *               *               *
  Gabon                                                *               *               *               *               *               *               *               *
  Georgia                                              1               1               1               *               *               0               *               *
  Germany                                            177             180             196             215             209             194             199             222
  Ghana                                                1               1               1               1               1               1               3               3
  Gibraltar                                            *               *               *               *               *               *               *               *
  Greece                                               3               2               2               2               2               3               2               2
  Grenada                                              *               *               *               *               *               *               *               *
  Guadeloupe                                           *               *               0               0               *               *               *               0
  Guatemala                                            3               2               3               4               4               8              10               8
  Guernsey                                            12              11              10              10              10              11              11              11
  Guinea                                               0               *               *               *               *               *               0               0
  Guyana                                               *               *               *               *               *               *               *               *
  Haiti                                                1               1               1               1               2               2               1               2
  Holy See (Vatican)                                   *               *               *               *               *               *               *               *
  Honduras                                             1               1               1               1               1               1               2               4
  Hong Kong                                          138             162             182             191             210             257             303             280
  Hungary                                              1               1               2               1               2               4               3               3
  Iceland                                              1               1               2               2               2               2               2               2
  India                                               69             101             110             115             142             161             152             210
  Indonesia                                           23              23              23              31              27              28              29              28
  Iran                                                 0               0               0               0               *               0               0               0
  Iraq                                                 7              12               7               6              11              16              13               9
  Ireland                                            396             476             578             640             622             520             470             505
  Isle of Man                                          1               1               1               1               1               1               1               1
  Israel                                              27              23              36              37              35              46              52              65
  Italy                                               42              41              53              49              54              59              58              60
