"Table A4.  Foreign Holdings of U.S. Short-Term Debt Securities, by Country, as of End-June"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2014,2015,2016,2017,2018,2019,2020,2021
"Afghanistan",0,0,"*",0,0,"*",0,1
"Albania",0,"*",0,0,0,0,0,0
"Algeria",1,1,1,1,1,1,1,1
"Andorra","*","*","*","*","*","*","*","*"
"Angola",0,"*","*",0,"*",0,0,0
"Anguilla","*","*",2,1,"*","*","*","*"
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina","*","*","*","*",2,6,4,2
"Armenia","*",0,0,0,0,"*","*","*"
"Aruba","*","*","*","*","*","*","*","*"
"Australia",14,10,9,8,10,8,11,9
"Austria","*",1,"*","*","*",1,1,"*"
"Azerbaijan","*",1,1,1,1,"*",1,"*"
"Bahamas",3,3,4,5,5,4,4,12
"Bahrain","*","*","*","*","*",1,1,1
"Bangladesh",1,1,"*",1,1,1,1,1
"Barbados",4,1,1,1,1,1,1,1
"Belarus",0,0,"*",0,0,0,0,0
"Belgium",13,13,61,15,31,27,46,34
"Belize","*","*","*","*","*","*","*","*"
"Bermuda",25,22,27,24,21,26,33,34
"Bolivia",2,2,1,1,1,2,1,"*"
"Bonaire, Sint Eustatius & Saba","*","*","*","*","*","*",0,0
"Botswana","*","*","*","*","*","*","*",0
"Brazil",26,21,13,18,8,3,16,1
"British Indian Ocean Territory",0,0,0,0,"*",0,0,0
"British Virgin Islands",17,16,14,11,13,14,8,5
"Brunei","*","*","*","*","*","*","*","*"
"Bulgaria",0,0,0,0,"*","*","*","*"
"Burkina Faso",0,0,0,"*","*","*",0,0
"Burma",0,0,0,0,0,0,"*","*"
"Cambodia",0,0,"*","*","*","*",0,0
"Canada",24,24,20,13,19,16,29,20
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",84,97,103,102,115,99,124,126
"Chile",10,10,8,9,10,4,8,5
"China, mainland",9,3,2,3,5,4,34,3
"Colombia",2,1,1,"*",2,1,2,"*"
"Cook Islands","*",0,"*","*",0,"*","*","*"
"Costa Rica",1,"*","*","*","*","*","*","*"
"Croatia",1,"*","*","*","*","*","*","*"
"Curacao","*","*",1,1,1,1,1,1
"Cyprus","*","*","*","*","*","*","*","*"
"Czech Republic",0,"*","*","*","*","*",2,"*"
"Denmark",1,1,1,1,1,1,4,1
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*","*","*","*","*"
"East Timor",0,"*",0,"*",0,0,0,0
"Ecuador","*","*","*","*","*","*","*","*"
"Egypt",1,1,1,6,18,18,15,15
"El Salvador","*","*","*","*","*",1,1,"*"
"Estonia","*","*","*","*","*","*","*","*"
"Ethiopia",0,0,"*",0,"*","*",0,0
"Federated States of Micronesia","*","*",0,"*","*","*",0,0
"Fiji","*","*","*","*","*","*","*",0
"Finland",1,"*","*","*","*","*",1,1
"France",12,8,13,16,18,19,25,20
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon",0,0,0,0,0,0,"*",0
"Gambia",0,0,0,0,0,"*","*","*"
"Georgia","*","*",0,0,0,0,0,0
"Germany",5,5,22,5,7,11,12,8
"Ghana","*","*",0,"*","*","*","*","*"
"Gibraltar","*",0,"*",1,"*","*","*","*"
"Greece",2,3,3,1,"*",1,1,2
"Grenada",0,"*","*","*",0,"*","*","*"
"Guatemala","*","*","*","*","*","*","*","*"
"Guernsey",2,3,2,1,1,2,2,3
"Guinea",0,0,0,0,0,"*",0,0
"Guyana","*",0,0,"*",0,"*",0,0
"Haiti","*","*","*","*","*","*","*","*"
"Honduras","*","*","*","*","*","*","*","*"
"Hong Kong",50,59,48,64,42,30,27,21
"Hungary","*","*","*","*","*","*",1,1
"Iceland","*","*","*","*","*","*","*","*"
"India",4,16,7,16,6,2,31,11
"Indonesia",4,2,1,3,2,2,2,4
"Iraq",19,18,8,10,16,18,18,12
"Ireland",129,120,115,132,134,105,195,173
"Isle of Man","*","*","*",1,"*","*","*",9
"Israel",5,4,2,1,2,2,6,10
"Italy","*",1,1,2,2,6,3,2
"Jamaica","*",0,"*","*","*","*","*","*"
"Japan",62,75,62,58,65,62,71,67
"Jersey",2,2,5,3,2,1,1,1
"Jordan",0,"*","*",0,"*","*","*","*"
"Kazakhstan",21,20,6,15,8,7,5,1
"Kenya",0,0,0,0,"*","*","*",0
"Korea, South",13,13,10,10,17,7,8,14
