"Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of"
"security, as of June 30, 2015"
"Millions of dollars"
"","Total","","","Agen","cy","Corpo","rate"
"Countries and Regions","LT","Equities","Treasury","NonABS","ABS","NonABS","ABS"
"Senegal",4,4,0,0,0,0,0
"Serbia and Montenegro (1)",1391,12,1379,0,0,"*",0
"Seychelles",167,162,2,"*","*",3,0
"Sierra Leone","*","*",0,0,0,0,0
"Singapore",319496,145415,110814,2851,2610,52580,5227
"Sint Maarten (1)",240,192,8,2,1,37,"*"
"Slovakia",325,32,278,14,0,"*",0
"Slovenia",1778,1057,377,133,0,212,"*"
"Solomon Islands","*","*",0,0,0,"*",0
"Somalia","*","*",0,0,0,0,0
"South Africa",20989,9698,8980,49,1529,581,152
"South Sudan","*","*",0,0,0,0,0
"Spain",46802,11593,30795,1181,315,2884,34
"Sri Lanka",433,24,369,40,0,"*",0
"Sudan","*","*",0,0,0,0,0
"Suriname",166,112,5,21,"*",27,"*"
"Swaziland",199,5,72,2,3,39,79
"Sweden",162581,118822,34318,86,72,8551,732
"Switzerland",681470,343763,191298,6213,11450,107853,20894
"Syria",4,4,0,0,0,"*",0
"Taiwan",451765,36218,173831,383,188455,51590,1288
"Tajikistan",1,1,0,0,0,0,0
"Tanzania",1569,12,1534,20,"*",2,"*"
"Thailand",18493,2493,12557,5,587,2827,23
"Togo","*","*",0,0,"*","*",0
"Tokelau","*","*",0,0,0,0,0
"Tonga",2,1,0,0,0,"*",0
"Trinidad and Tobago",9198,2360,3156,263,584,2072,763
"Tunisia",968,744,218,5,0,1,0
"Turkey",19059,320,18687,1,"*",51,0
"Turkmenistan","*","*",0,0,0,0,0
"Turks and Caicos Islands",653,445,24,4,13,156,11
"Tuvalu","*","*",0,0,0,0,0
"Uganda",504,18,412,8,10,46,8
"Ukraine",4150,28,4074,"*","*",49,0
"United Arab Emirates",154039,88667,59299,328,177,5381,187
"United Kingdom",1405796,832099,172382,2958,5564,369532,23262
"Uruguay",10420,2190,6796,101,275,980,76
"Uzbekistan",22,17,1,0,0,5,0
"Vanuatu",6,6,0,0,0,0,0
"Venezuela",5555,3540,222,85,41,1654,13
"Vietnam",13629,33,13594,0,0,2,0
"Wallis and Futuna","*","*",0,0,0,0,0
"West Bank and Gaza","*","*",0,0,0,0,0
"Western Sahara",3,2,0,0,0,1,0
"Yemen",655,3,642,10,0,"*",0
