                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,
as of June 30, 2015
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Afghanistan                                              14               7               7               *
  Albania                                                   6               2               3               *
  Algeria                                                  23              18               4               1
  Andorra                                                1013             727             190              95
  Angola                                                  385              85              56             245
  Anguilla                                              18918           18546             325              47
  Antigua and Barbuda                                     122              94              23               6
  Argentina                                              4888            1751            2358             779
  Armenia                                                   4               3               1               *
  Aruba                                                   375              65             305               5
  Australia                                            175571          144310           15478           15782
  Austria                                                8449            6944            1252             253
  Azerbaijan                                              804             772              29               4
  Bahamas                                               21195            8866           11044            1284
  Bahrain                                                 994             719             240              35
  Bangladesh                                                8               3               5               *
  Barbados                                               1650             782             838              29
  Belarus                                                   3               2               1               0
  Belgium                                               34484           29016            3980            1487
  Belize                                                  598             196             237             166
  Benin                                                     *               *               *               *
  Bermuda                                               88805           43762           36879            8163
  Bhutan                                                   50               *              49               *
  Bolivia                                                 193              65             118               9
  Bonaire, Sint Eustatius & Saba (1)                       28              19               8               1
  Bosnia and Herzegovina                                    1               *               *               0
  Botswana                                                604             563              32              10
  Brazil                                                 7749            3687            2450            1612
  British Indian Ocean Territory                            6               2               3               *
  British Virgin Islands                               118905           64782           43860           10263
  Brunei                                                 1530            1154             283              93
  Bulgaria                                                 90              68              21               1
  Burkina Faso                                              *               *               *               *
  Burma                                                     1               *               *               *
  Burundi                                                   *               *               0               *
  Cambodia                                                 14              12               2               *
  Cameroon                                                 65              62               3               *
  Canada                                               761017          636444           95839           28734
  Cape Verde                                                *               *               *               *
  Cayman Islands                                       883703          563224          142903          177577
  Central African Republic                                  1               0               0               1
  Chad                                                      *               *               *               *
  Chile                                                 29439            2334           26631             475
  China, mainland (2)                                  330489          263365           14189           52935
  Colombia                                              18164             520           17210             434
  Comoros                                                 844             586             258              -0
  Congo (Brazzaville)                                       3               1               2               0
  Congo (Kinshasa)                                          1               *               *              -0
  Cook Islands                                            141              20             119               1
  Costa Rica                                             1739             238             625             876
  Cote d`Ivoire (Ivory Coast)                               2               2               *              -0
  Croatia                                                 187             119              68               *
  Cuba                                                      *               *               *               *
  Curacao (1)                                            1933            1003             580             351
  Cyprus                                                  347             242              84              20
  Czech Republic                                         2396            1937             444              15
  Denmark                                               61257           50128            8743            2385
  Djibouti                                                  *               *               *               0
  Dominica                                                 33               7              25               1
  Dominican Republic                                      342             116             198              27
  East Timor                                             3625            3624               *               2
  Ecuador                                                 529             112             382              35
