                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A1.  Value of foreign holdings of U.S. securities, by country and type of security, as
of June 30, 2016
 Millions of dollars
                                                                                                  Debt (LT = long-term; ST = short-term)
                                                   Total                           LT              LT               LT              LT
 Countries and Regions                          (LT and ST)     Equities          Total         Treasury         Agency            Corp            ST
  Djibouti                                                  *               *               0               0               0               0               0
  Dominica                                                 41              29              11               *               *              11               *
  Dominican Republic                                     1884             341            1536            1307              13             216               7
  East Timor                                            11464            3563            7901            7901               0               0               0
  Ecuador                                                1359             753             430              91             122             217             176
  Egypt                                                  2557             454            1002             677             276              50            1101
  El Salvador                                            1343             243             783             667              11             105             317
  Equatorial Guinea                                         *               *               0               0               0               0               0
  Eritrea                                                   *               *               0               0               0               0               0
  Estonia                                                 548             290             248             228               2              18              10
  Ethiopia                                                  8               7               *               0               0               *               *
  Falkland Islands                                         19              16               4               3               0               1               0
  Faroe Islands                                             *               *               0               0               0               0               0
  Federated States of Micronesia                          116              61              55              17              21              17               0
  Fiji                                                     22               6               *               0               0               *              16
  Finland                                               36644           21044           15496            9955              13            5528             104
  France                                               228930          119619           96550           40635            3070           52845           12761
  French Guiana                                            15              13               2               0               0               2               0
  French Polynesia                                         18              14               1               *               *               1               3
  Gabon                                                   175              14             161              34               0             127               0
  Gambia                                                    6               6               0               0               0               0               0
  Georgia                                                1154              18            1136            1054              75               7               0
  Germany                                              372897          155276          195615           77503            4607          113505           22006
  Ghana                                                   921              21             900             875               1              25               0
  Gibraltar                                               784             296             479             349               4             126               9
  Greece                                                 6205            1852            1675            1354              24             296            2678
  Greenland                                                 *               *               0               0               0               0               0
  Grenada                                                  51              36              15               *               *              14               *
  Guadeloupe (1)                                           14              14               0               0               0               0               0
  Guatemala                                              3323             288            2980            2551              33             397              54
  Guernsey                                              38479           26658            9700            4833             371            4497            2120
  Guinea                                                    1               *               *               0               0               *               0
  Guyana                                                  108              43              65              12              48               4               0
  Haiti                                                  1320             137            1181              80             496             605               3
  Holy See (Vatican)                                       20               9              12              12               0               *               0
  Honduras                                               1086              64             967             800              68              99              56
  Hong Kong                                            305013           74599          182380          136601           12655           33124           48035
  Hungary                                                2576             676            1531             801             714              15             369
  Iceland                                                2876             952            1884            1834              50               0              40
  India                                                119437            2181          110207          110172               *              35            7049
  Indonesia                                             24570             275           23020           17504            3558            1958            1275
  Iran                                                      3               3               0               0               0               0               0
  Iraq                                                  15312               *            7318            7318               0               0            7994
  Ireland                                              931038          238264          577692          234513           47634          295546          115082
  Isle of Man                                            1800             842             952             709               1             242               5
  Israel                                                75571           37352           36394           28890            2420            5084            1825
  Italy                                                 77558           24129           52654           38159            1667           12827             776
  Jamaica                                                 688             156             470             109              27             335              62
  Japan                                               1959622          427512         1470167         1085645          197101          187421           61942
  Jersey                                                29637           17446            6942            2018             282            4642            5250
  Jordan                                                  318              68             242             241               *               1               7
  Kazakhstan                                            27490            4680           16507           15383              74            1051            6303
  Kenya                                                  1028              28            1000             989              10               1               0
  Kiribati                                                305             305               0               0               0               0               0
  Korea, South                                         236282           74962          151397           75486           50322           25588            9923
  Kosovo (1)                                                2               1               *               0               0               *               1
  Kuwait                                               188684          131119           46360           28649            4941           12769           11205
  Kyrgyzstan                                                *               *               0               0               0               0               0
  Laos                                                      *               *               0               0               0               0               0
  Latvia                                                 1660             102            1468             700             397             371              90
  Lebanon                                                 190             173              17               1               *              16               0
  Lesotho                                                  83               0              83              83               0               0               0
  Liberia                                                1219             502             712             432             107             173               5
  Libya                                                    80              80               0               0               0               0               0
  Liechtenstein                                          2935            2636             299              15              40             244               0
  Lithuania                                               287              32             233             227               4               1              22
  Luxembourg                                          1348523          516395          738290          179989           32164          526137           93838
  Macau                                                  3754            1180            2424            1333             226             865             149
  Macedonia                                               233               3             230             229               0               1               0
  Madagascar                                               86               9              77              77               0               0               0
  Malawi                                                    6               4               2               1               0               2               0
  Malaysia                                              35690           10084           25374           13301           10127            1946             232
  Maldives                                                  *               *               0               0               0               0               0
  Mali                                                      3               3               0               0               0               0               0
  Malta                                                  1439             594             841             350               7             484               3
  Marshall Islands                                        980             874              62               5               3              54              44
  Martinique                                                1               1               *               0               0               *               0
  Mauritania                                              115               *             115             115               0               0               0
  Mauritius                                              3155             897            1827             921              54             852             430
  Mexico                                               116739           35506           63667           39163           21795            2709           17566
  Moldova                                                 472               3             469             469               0               0               0
  Monaco                                                 2258            1717             448             326              90              32              93
  Mongolia                                                145               *             145             145               0               0               0
  Montenegro (1)                                            1               1               0               0               0               0               0
  Montserrat                                               16              14               3               2               0               1               0
  Morocco                                                2579             166            2409            2403               0               6               4
  Mozambique                                              190               5             185             173               0              12               0
  Namibia                                                 675             618              57              57               0               *               0
  Nauru                                                     3               3               0               0               0               0               0
  Nepal                                                   875              10             715             714               0               *             150
  Netherlands                                          349925          210260          129815           46224           12460           71131            9850
  New Caledonia                                             1               1               *               0               0               *               0
  New Zealand                                           19340           11875            6799            3955             619            2226             666
  Nicaragua                                               500              73             387             241              60              86              41
  Niger                                                     1               1               0               0               0               0               0
  Nigeria                                                2995             138            2845            2356             426              63              13
  Norway                                               305976          200794          104412           58494             151           45767             770
  Oman                                                  22081            6432           15645           15511              65              70               4
  Pakistan                                               2050              67             876             758               0             118            1107
  Palau                                                   165             118              47              10              19              18               0
  Panama                                                19083           11345            7103             661            1433            5009             634
  Papua New Guinea                                          7               2               5               5               0               0               0
  Paraguay                                                190             126              61               7               7              47               2
  Peru                                                  27853            9359           17703           12439            3135            2129             791
  Philippines                                           45613            2244           42197           41213              23             961            1171
  Pitcairn Island                                           *               *               0               0               0               0               0
  Poland                                                37476            2751           34719           34229               *             490               6
  Portugal                                               8546            2573            5823            5159             258             407             150
  Qatar                                                 10058            5124             153               *               0             153            4781
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                3960              58            3902            3837               *              64               0
  Russia                                                91389             344           90788           90667               2             120             256
  Rwanda                                                  129               *             129             129               0               *               0
  Saint Kitts and Nevis                                  2655            1452            1123             574              72             477              81
  Saint Lucia                                             340             168             172               5               7             160               0
  Saint Martin & Saint Barthelemy (1)                       4               3               *               0               0               *               *
  Saint Vincent and the Grenadines                         35              28               5               1               *               4               3
  Samoa                                                   102              87              13               *               2              11               2
  San Marino                                                1               1               0               0               0               0               0
  Saudi Arabia                                         152449           35158          112335           94779            7043           10513            4956
  Senegal                                                   5               5               *               0               0               *               0
  Serbia and Montenegro (1)                              1743              11            1382            1382               0               *             350
  Seychelles                                              173             165               8               *               *               7               *
  Sierra Leone                                              *               *               0               0               0               0               0
  Singapore                                            321300          136500          171234          103313            8341           59579           13567
  Sint Maarten (1)                                        232             175              57              11               4              42               1
  Slovakia                                                412              37             334             326               8               *              41
  Slovenia                                               1741             986             737             298             106             333              19
  Solomon Islands                                           *               *               *               0               0               *               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          20400            9193           11155            9073            1630             452              52
  South Sudan                                               *               *               0               0               0               0               0
  Spain                                                 58535           12802           44253           38540            1120            4593            1480
  Sri Lanka                                               296              21             276             256              20               0               0
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                 91              53              37               1               *              35               1
  Swaziland                                               154               5             149              55              12              82               0
  Sweden                                               165212          117191           46381           39139             123            7119            1640
  Switzerland                                          742393          351088          358827          207061           16240          135526           32478
  Syria                                                     3               3               *               0               0               *               0
  Taiwan                                               519126           42889          473107          184891          207164           81052            3130
  Tajikistan                                                1               1               0               0               0               0               0
  Tanzania                                               1403              11            1392            1372              17               2               0
  Thailand                                              55163            2322           24724           19856            1942            2926           28116
  Togo                                                      1               1               *               0               0               *               0
  Tokelau                                                   *               *               0               0               0               0               0
  Tonga                                                     2               1               *               0               0               *               0
  Trinidad and Tobago                                    9472            2215            6889            2830            1137            2922             369
  Tunisia                                                1044             829             215             215               0               1               0
  Turkey                                                59153             528           24848           24796               1              51           33776
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Islands                                708             488             217              36              18             163               3
  Uganda                                                  974              13             664             597              16              51             297
  Ukraine                                                5733              27            5647            5637               *              10              60
  United Arab Emirates                                 160999           86756           62828           56002             559            6267           11416
  United Kingdom                                      1426650          740564          646019          198884            9668          437467           40066
  Uruguay                                                9730            1855            6428            4733             280            1415            1447
  Uzbekistan                                                2               1               *               0               0               *               0
  Vanuatu                                                  13               3               0               0               0               0              10
  Venezuela                                              5464            3074            2269             253             108            1908             121
  Vietnam                                               13544              32           13512           13510               *               2               *
  Wallis and Futuna                                         *               *               0               0               0               0               0
  West Bank and Gaza                                        *               *               0               0               0               0               0
  Yemen                                                   202               3             199             199               0               *               0
  Zambia                                                  174               4             171             166               5               0               0
  Zimbabwe                                                  5               4               1               0               0               1               0
  International and regional organizations              95738            3786           78083           56743            8662           12678           13869
  Country Unknown                                       82149             199           81949               *               2           81947               0

  Total                                              17139236         6185574        10044455         5584909          954325         3505220          909207

  of which: Holdings of foreign official
  institutions                                        5504408          821346         4379694         3761296          445673          172725          303368

  Totals by Region:
  Total Africa                                          44113           14083           27392           22609            2564            2219            2638
  Total Asia                                          5918254         1261524         4436096         3286154          702641          447300          220635
  Total Caribbean                                     2100410         1031377          917108          259148           65591          592369          151925
  Total Europe                                        7125199         2887207         3791984         1501612          136483         2153890          446008
  Total Latin America                                  564142          107524          412249          361827           29238           21184           44369
  Canada                                               950676          695440          234761           68997            5966          159798           20475
  Australia/Oceania                                    258556          184434           64832           27819            3178           33835            9289
  Country Unknown                                       82149             199           81949               *               2           81947               0
  International and regional organizations              95738            3786           78083           56743            8662           12678           13869


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



