                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A2.  Value of foreign holdings of U.S. long-term securities, by country and type of
security, as of June 30, 2016
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Libya                                                    80              80               0               0               0               0               0
  Liechtenstein                                          2935            2636              15               1              40             243               1
  Lithuania                                               265              32             227               4               0               1               0
  Luxembourg                                          1254686          516395          179989            4977           27187          483588           42549
  Macau                                                  3604            1180            1333              23             203             696             169
  Macedonia                                               233               3             229               0               0               1               0
  Madagascar                                               86               9              77               0               0               0               0
  Malawi                                                    6               4               1               0               0               2               0
  Malaysia                                              35458           10084           13301             691            9436            1493             454
  Maldives                                                  *               *               0               0               0               0               0
  Mali                                                      3               3               0               0               0               0               0
  Malta                                                  1435             594             350               7               0             484               0
  Marshall Islands                                        936             874               5               2               2              53               1
  Martinique                                                1               1               0               0               0               *               0
  Mauritania                                              115               *             115               0               0               0               0
  Mauritius                                              2724             897             921              43              11             670             183
  Mexico                                                99174           35506           39163           16820            4975            2650              59
  Moldova                                                 472               3             469               0               0               0               0
  Monaco                                                 2165            1717             326               *              90              32               *
  Mongolia                                                145               *             145               0               0               0               0
  Montenegro (1)                                            1               1               0               0               0               0               0
  Montserrat                                               16              14               2               0               0               1               0
  Morocco                                                2575             166            2403               0               0               6               *
  Mozambique                                              190               5             173               0               0              12               0
  Namibia                                                 675             618              57               0               0               *               0
  Nauru                                                     3               3               0               0               0               0               0
  Nepal                                                   725              10             714               0               0               *               0
  Netherlands                                          340075          210260           46224             988           11471           66632            4499
  New Caledonia                                             1               1               0               0               0               *               0
  New Zealand                                           18674           11875            3955              40             579            2086             140
  Nicaragua                                               459              73             241              60               *              86               *
  Niger                                                     1               1               0               0               0               0               0
  Nigeria                                                2982             138            2356             183             243              63               0
  Norway                                               305205          200794           58494             148               3           45196             571
  Oman                                                  22077            6432           15511               *              65              59              11
  Pakistan                                                942              67             758               0               0             118               0
  Palau                                                   165             118              10              13               6              17               *
  Panama                                                18449           11345             661             221            1212            4825             184
  Papua New Guinea                                          7               2               5               0               0               0               0
  Paraguay                                                188             126               7               5               2              47               0
  Peru                                                  27062            9359           12439            3133               1            2127               2
  Philippines                                           44442            2244           41213               1              22             961               *
  Pitcairn Island                                           *               *               0               0               0               0               0
  Poland                                                37470            2751           34229               *               0             490               *
  Portugal                                               8396            2573            5159             111             146             407               *
  Qatar                                                  5277            5124               *               0               0             153               0
  Reunion                                                   *               *               0               0               0               0               0
  Romania                                                3960              58            3837               *               0              64               0
  Russia                                                91133             344           90667               *               2             118               2
  Rwanda                                                  129               *             129               0               0               *               0
  Saint Kitts and Nevis                                  2575            1452             574              66               6             475               2
  Saint Lucia                                             340             168               5               2               5             148              12
  Saint Martin & Saint Barthelemy (1)                       3               3               0               0               0               *               0
  Saint Vincent and the Grenadines                         32              28               1               *               0               4               0
  Samoa                                                   100              87               *               2               *              11               *
  San Marino                                                1               1               0               0               0               0               0
  Saudi Arabia                                         147493           35158           94779             264            6780            7446            3066
  Senegal                                                   5               5               0               0               0               *               0
  Serbia and Montenegro (1)                              1393              11            1382               0               0               *               0
  Seychelles                                              173             165               *               *               *               7               *
  Sierra Leone                                              *               *               0               0               0               0               0
  Singapore                                            307733          136500          103313            4414            3927           53763            5816
  Sint Maarten (1)                                        232             175              11               1               3              41               *
  Slovakia                                                371              37             326               8               0               *               0
  Slovenia                                               1723             986             298             106               0             333               *
  Solomon Islands                                           *               *               0               0               0               *               0
  Somalia                                                   *               *               0               0               0               0               0
  South Africa                                          20348            9193            9073              38            1592             438              14
  South Sudan                                               *               *               0               0               0               0               0
  Spain                                                 57055           12802           38540             591             529            4560              32
  Sri Lanka                                               296              21             256              20               0               0               0
  Sudan                                                     *               *               0               0               0               0               0
  Suriname                                                 90              53               1               *               *              35               0
  Swaziland                                               154               5              55               2              10              10              72
  Sweden                                               163572          117191           39139              51              72            6448             671
  Switzerland                                          709914          351088          207061            4523           11717          126965            8561
  Syria                                                     3               3               0               0               0               *               0
  Taiwan                                               515996           42889          184891             210          206954           79954            1098
  Tajikistan                                                1               1               0               0               0               0               0
  Tanzania                                               1403              11            1372              17               0               2               0
  Thailand                                              27047            2322           19856               1            1941            2922               5
  Togo                                                      1               1               0               0               0               *               0
  Tokelau                                                   *               *               0               0               0               0               0
  Tonga                                                     2               1               0               0               0               *               0
  Trinidad and Tobago                                    9103            2215            2830             247             890            2171             751
  Tunisia                                                1044             829             215               0               0               1               0
  Turkey                                                25376             528           24796               1               *              51               0
  Turkmenistan                                              *               *               0               0               0               0               0
  Turks and Caicos Islands                                705             488              36               4              14             158               5
  Uganda                                                  677              13             597               *              16              36              15
  Ukraine                                                5673              27            5637               0               *              10               0
  United Arab Emirates                                 149583           86756           56002             439             119            6107             160
  United Kingdom                                      1386583          740564          198884            2152            7516          419537           17930
  Uruguay                                                8283            1855            4733              35             245            1338              77
  Uzbekistan                                                2               1               0               0               0               *               0
  Vanuatu                                                   3               3               0               0               0               0               0
  Venezuela                                              5344            3074             253              85              23            1901               8
  Vietnam                                               13544              32           13510               *               *               2               *
  Wallis and Futuna                                         *               *               0               0               0               0               0
  West Bank and Gaza                                        *               *               0               0               0               0               0
  Yemen                                                   202               3             199               0               0               *               0
  Zambia                                                  174               4             166               5               0               0               0
  Zimbabwe                                                  5               4               0               0               0               1               0
  International and regional organizations              81869            3786           56743            2650            6012            3771            8907
  Country Unknown                                       82149             199               *               2               0           81947               *

  Total                                              16230029         6185574         5584909          122733          831593         3149322          355899

  of which: Holdings of foreign official
  institutions                                        5201040          821346         3761296           66179          379494          155913           16813

  Totals by Region:
  Total Africa                                          41475           14083           22609             332            2232            1888             332
  Total Asia                                          5697620         1261524         3286154           49705          652936          416820           30481
  Total Caribbean                                     1948485         1031377          259148           15793           49798          460857          131511
  Total Europe                                        6679191         2887207         1501612           30302          106181         1999218          154672
  Total Latin America                                  519773          107524          361827           21660            7577           20831             353
  Canada                                               930201          695440           68997            1593            4373          133457           26341
  Australia/Oceania                                    249266          184434           27819             695            2483           30532            3303
  Country Unknown                                       82149             199               *               2               0           81947               *
  International and regional organizations              81869            3786           56743            2650            6012            3771            8907


* Greater than zero but less than $500,000.
n.a. Not available.

1. Separate reporting for certain country groups began with the 2014 survey.

    Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles.

    Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe.

    Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia.

2. Excludes Hong Kong and Macau, which are reported separately.



