"Table A1.  Value of foreign holdings of U.S. securities, by country and type of security, as"
"of June 30, 2015"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Afghanistan",1118,14,1103,1103,"*",1,0
"Albania",473,6,458,446,"*",11,10
"Algeria",703,23,1,0,0,1,680
"Andorra",1781,1013,767,268,1,499,1
"Angola",1239,385,750,102,0,648,103
"Anguilla",19513,18918,441,279,16,146,154
"Antigua and Barbuda",198,122,48,2,3,43,28
"Argentina",6722,4888,1717,545,42,1129,118
"Armenia",379,4,375,375,0,0,0
"Aruba",895,375,517,121,98,298,3
"Australia",242034,175571,56021,24519,1623,29879,10442
"Austria",18065,8449,8874,5180,203,3492,742
"Azerbaijan",8212,804,6733,632,0,6101,675
"Bahamas",36691,21195,12291,4237,1218,6836,3205
"Bahrain",2597,994,1448,748,429,270,156
"Bangladesh",1079,8,1,"*",0,1,1070
"Barbados",15849,1650,13433,942,2152,10339,766
"Belarus",257,3,254,248,0,6,0
"Belgium",602121,34484,554694,195574,5813,353307,12944
"Belize",933,598,329,155,30,144,6
"Benin","*","*",0,0,0,0,0
"Bermuda",286613,88805,175368,37586,27322,110460,22440
"Bhutan",50,50,0,0,0,0,0
"Bolivia",2566,193,866,655,5,206,1508
"Bonaire, Sint Eustatius & Saba (1)",32,28,3,1,"*",2,1
"Bosnia and Herzegovina",1,1,"*",0,0,"*",0
"Botswana",2260,604,1627,1613,1,13,29
"Brazil",267919,7749,239303,237775,629,900,20867
"British Indian Ocean Territory",7,6,1,0,0,1,0
"British Virgin Islands",172657,118905,37772,17132,759,19881,15979
"Brunei",2618,1530,1076,196,24,856,12
"Bulgaria",99,90,9,"*","*",9,0
"Burkina Faso","*","*","*",0,0,"*",0
"Burma",1,1,"*",0,"*",0,0
"Burundi","*","*",0,0,0,0,0
"Cambodia",1744,14,1729,1727,2,0,0
"Cameroon",65,65,0,0,0,0,0
"Canada",991994,761017,206816,47727,4117,154972,24161
"Cape Verde",52,"*",0,0,0,0,52
"Cayman Islands",1505836,883703,524895,135313,24033,365549,97238
"Central African Republic",1,1,0,0,0,0,0
"Chad","*","*",0,0,0,0,0
"Chile",63847,29439,24601,22464,7,2129,9807
"China, mainland (2)",1844020,330489,1510238,1267500,222351,20387,3293
"Colombia",58937,18164,39455,36849,1075,1531,1318
"Comoros",844,844,0,0,0,0,0
"Congo (Brazzaville)",3,3,"*",0,0,"*",0
"Congo (Kinshasa)",1,1,"*",0,0,"*",0
"Cook Islands",199,141,58,"*","*",58,0
"Costa Rica",3869,1739,1707,1307,120,279,424
"Cote d`Ivoire (Ivory Coast)",2,2,0,0,0,0,0
"Croatia",2084,187,1467,1467,0,"*",430
"Cuba","*","*",0,0,0,0,0
"Curacao (1)",3935,1933,1832,986,285,561,170
"Cyprus",512,347,140,126,3,11,25
"Czech Republic",7987,2396,5568,5378,"*",190,23
"Denmark",105127,61257,42721,16025,141,26556,1149
"Djibouti","*","*",0,0,0,0,0
"Dominica",43,33,9,"*","*",9,1
"Dominican Republic",1704,342,1347,1161,14,172,15
"East Timor",12067,3625,8438,8438,0,0,4
"Ecuador",1101,529,394,92,66,235,178
"Egypt",5398,350,4118,3807,245,66,930
"El Salvador",995,204,756,574,65,117,34
"Equatorial Guinea",1,"*","*",0,0,"*",0
"Eritrea","*","*",0,0,0,0,0
"Estonia",503,237,240,215,4,22,26
"Ethiopia",7,7,"*",0,0,"*",0
"Falkland Islands",22,19,3,1,0,1,0
"Faroe Islands","*","*",0,0,0,0,0
"Federated States of Micronesia",115,73,42,20,11,11,"*"
"Fiji",14,6,"*",0,0,"*",8
"Finland",32262,18409,13397,8142,23,5232,457
"France",274231,168266,98232,49205,4427,44599,7732
"French Guiana",15,13,2,0,0,2,0
"French Polynesia",18,14,2,"*","*",2,2
"Gabon",146,23,123,"*",0,123,0
"Gambia",6,6,0,0,0,0,0
"Georgia",649,3,641,641,0,"*",5
"Germany",343737,158781,179596,69848,6561,103187,5361
"Ghana",891,13,666,636,3,27,213
"Gibraltar",590,369,221,68,3,150,0
"Greece",8556,4431,1519,997,39,483,2606
"Greenland","*","*",0,0,0,0,0
"Grenada",12,11,1,"*","*",1,"*"
"Guadeloupe (1)",14,14,"*",0,0,"*",0
"Guatemala",2553,254,2242,2014,38,190,58
"Guernsey",39903,26109,11200,4863,486,5851,2595
"Guinea",1,"*","*",0,0,"*",0
"Guyana",96,52,44,18,9,18,0
"Haiti",1345,182,1163,52,454,657,1
"Holy See (Vatican)",101,91,10,0,10,"*",0
"Honduras",1071,65,997,822,47,128,9
"Hong Kong",298040,77382,161547,123040,14262,24245,59110
"Hungary",2328,703,1387,1069,270,48,238
"Iceland",2217,1150,1033,867,146,20,33
"India",118967,2066,101077,101044,1,32,15824
"Indonesia",24834,304,22751,19411,2530,810,1779
"Iran",3,3,0,0,0,0,0
"Iraq",30112,"*",12362,12362,0,0,17750
"Ireland",830690,234870,475621,173617,36257,265747,120199
"Isle of Man",1753,810,855,617,6,233,88
