"Table A8.  Foreign holdings of U.S. equities, by country, as of selected survey dates"
""
"Billions of dollars"
"","June","June","June","June","June","June","June","June"
"Countries and Regions",2009,2010,2011,2012,2013,2014,2015,2016
"Afghanistan","*","*","*","*","*","*","*","*"
"Albania","*","*","*","*","*","*","*","*"
"Algeria","*","*","*","*","*","*","*","*"
"Andorra","*",1,1,1,1,1,1,1
"Angola","*",1,2,1,1,"*","*","*"
"Anguilla",8,11,16,15,21,17,19,16
"Antigua and Barbuda","*","*","*","*","*","*","*","*"
"Argentina",4,4,5,5,5,5,5,4
"Armenia","*","*","*","*","*","*","*","*"
"Aruba","*","*","*","*","*","*","*","*"
"Australia",61,74,106,112,149,170,176,171
"Austria",5,5,7,7,7,9,8,9
"Azerbaijan","*","*","*","*","*","*",1,1
"Bahamas",15,17,19,18,19,22,21,17
"Bahrain",1,"*",1,1,1,1,1,1
"Bangladesh","*","*","*","*","*","*","*","*"
"Barbados",1,1,1,1,1,1,2,2
"Belarus","*","*","*","*","*","*","*","*"
"Belgium",17,19,25,22,29,34,34,31
"Belize","*","*","*","*","*",1,1,"*"
"Benin","*","*","*","*","*","*","*","*"
"Bermuda",39,44,59,68,74,93,89,86
"Bhutan","*","*","*","*","*","*","*","*"
"Bolivia","*",1,"*","*","*","*","*","*"
"Bonaire, Sint Eustatius & Saba (1)","n.a.","n.a.","n.a.","n.a.","n.a.","*","*","*"
"Bosnia and Herzegovina","*","*","*","*","*","*","*","*"
"Botswana",1,1,1,1,1,1,1,"*"
"Brazil",1,2,2,4,4,7,8,5
"British Indian Ocean Territory","*","*","*","*","*","*","*","*"
"British Virgin Islands",36,42,61,84,101,128,119,105
"Brunei",1,1,2,2,2,4,2,2
"Bulgaria","*","*","*","*","*","*","*","*"
"Burkina Faso","*","*","*","*","*","*","*","*"
"Burma","*","*","*","*","*","*","*","*"
"Burundi","*","*","*","*","*","*","*","*"
"Cambodia","*","*","*","*","*","*","*","*"
"Cameroon","*","*","*","*","*","*","*","*"
"Canada",242,298,415,471,617,769,761,695
"Cape Verde","*","*","*","*","*","*","*","*"
"Cayman Islands",227,290,393,516,628,838,884,796
"Central African Republic","*","*","*","*","*","*","*","*"
"Chad","*","*","*","*","*","*","*","*"
"Chile",9,13,18,17,22,27,29,21
"China, mainland (2)",78,127,159,221,261,320,330,178
"Colombia",2,4,7,6,7,11,18,13
"Comoros","*","*","*","*","*",1,1,"*"
"Congo (Brazzaville)","*","*","*","*","*","*","*","*"
"Congo (Kinshasa)","*","*","*","*","*","*","*","*"
"Cook Islands","*","*","*","*","*","*","*","*"
"Costa Rica",1,1,1,1,1,1,2,1
"Cote d`Ivoire (Ivory Coast)","*","*","*","*","*","*","*","*"
"Croatia","*","*","*","*","*","*","*","*"
"Cuba","*","*","*","*","*","*","*","*"
"Curacao (1)","n.a.","n.a.","n.a.","n.a.","n.a.",2,2,3
"Cyprus","*","*","*","*","*",1,"*","*"
"Czech Republic",1,1,1,1,2,2,2,2
"Denmark",19,26,34,37,48,53,61,68
"Djibouti","*","*","*","*","*","*","*","*"
"Dominica","*","*","*","*","*","*","*","*"
"Dominican Republic","*","*","*","*","*","*","*","*"
"East Timor","*","*","*",1,2,3,4,4
"Ecuador","*","*","*","*","*","*",1,1
"Egypt","*","*","*","*","*","*","*","*"
"El Salvador","*","*","*","*","*","*","*","*"
"Equatorial Guinea","*","*","*","*","*","*","*","*"
"Eritrea","*","*","*","*","*","*","*","*"
"Estonia","*","*","*","*","*","*","*","*"
"Ethiopia","*","*","*","*","*","*","*","*"
"Falkland Islands","*","*","*","*","*","*","*","*"
"Faroe Islands","*","*","*","*","*","*","*","*"
"Federated States of Micronesia","*","*","*","*","*","*","*","*"
"Fiji","*","*","*","*","*","*","*","*"
"Finland",6,9,14,12,14,21,18,21
"France",81,115,140,120,115,157,168,120
"French Guiana","*","*","*","*","*","*","*","*"
"French Polynesia","*","*","*","*","*","*","*","*"
"Gabon","*","*","*","*","*","*","*","*"
"Gambia","*","*","*","*","*","*","*","*"
"Georgia","*","*","*","*","*","*","*","*"
"Germany",45,57,81,79,111,137,159,155
"Ghana","*","*","*","*","*","*","*","*"
"Gibraltar","*",1,"*","*","*","*","*","*"
"Greece",1,1,2,3,4,5,4,2
"Greenland","*","*","*","*","*","*","*","*"
"Grenada","*","*","*","*","*","*","*","*"
"Guadeloupe (1)","*","*","*","*","*","*","*","*"
"Guatemala","*","*","*","*","*","*","*","*"
"Guernsey",5,10,12,21,21,24,26,27
"Guinea","*","*","*","*","*","*","*","*"
"Guinea-Bissau","*","*","*","*","*","*",0,0
"Guyana","*","*","*","*","*","*","*","*"
"Haiti","*","*","*","*","*","*","*","*"
"Holy See (Vatican)","*","*","*","*","*","*","*","*"
"Honduras","*","*","*","*","*","*","*","*"
"Hong Kong",28,33,43,47,56,74,77,75
"Hungary","*",1,1,"*",1,1,1,1
"Iceland","*","*","*","*",1,1,1,1
"India",1,1,1,1,1,2,2,2
"Indonesia","*","*","*","*","*","*","*","*"
"Iran","*","*","*","*","*","*","*","*"
"Iraq","*","*","*","*","*","*","*","*"
"Ireland",60,77,105,108,141,204,235,238
"Isle of Man","*",1,1,1,1,1,1,1
"Israel",9,13,20,23,30,35,41,37
"Italy",12,13,15,15,21,27,26,24
"Jamaica","*","*","*","*","*","*","*","*"
"Japan",182,224,302,314,316,361,391,428
"Jersey",6,8,14,11,14,17,18,17
"Jordan","*","*","*","*","*","*","*","*"
"Kazakhstan",1,1,2,3,5,6,7,5
"Kenya","*","*","*","*","*","*","*","*"
"Kiribati","*","*","*","*","*","*","*","*"
"Korea, South",8,13,20,24,36,59,62,75
"Kosovo (1)","n.a.","n.a.","n.a.","n.a.","n.a.","*","*","*"
"Kuwait",40,45,65,83,112,136,136,131
"Kyrgyzstan","*","*","*","*","*","*","*","*"
"Laos","*","*","*","*","*","*","*","*"
"Latvia","*","*","*","*","*","*","*","*"
"Lebanon","*","*",1,1,1,1,"*","*"
"Lesotho","*","*","*","*","*","*","*",0
"Liberia",1,1,1,1,1,1,1,1
"Libya","*","*","*","*","*","*","*","*"
"Liechtenstein",2,2,3,2,3,4,3,3
"Lithuania","*","*","*","*","*","*","*","*"
"Luxembourg",137,172,291,292,378,502,518,516
"Macau","*","*","*","*","*",1,1,1
"Macedonia","*","*","*","*","*","*","*","*"
"Madagascar","*","*","*","*","*","*","*","*"
"Malawi","*","*","*","*","*","*","*","*"
"Malaysia",1,2,4,7,8,12,11,10
"Maldives","*","*","*","*","*","*","*","*"
"Mali","*","*","*","*","*","*","*","*"
"Malta","*","*","*","*",1,1,1,1
"Marshall Islands","*","*","*","*","*",1,1,1
"Martinique","*","*","*","*","*","*","*","*"
"Mauritania","*","*","*","*","*","*","*","*"
"Mauritius","*","*",1,2,2,3,6,1
"Mayotte","*","*","*","*","*","*","*",0
"Mexico",9,17,25,23,32,42,41,36
"Moldova","*","*","*","*","*","*","*","*"
"Monaco",1,1,1,2,2,2,2,2
"Mongolia","*","*","*","*","*","*","*","*"
"Montenegro (1)","n.a.","n.a.","n.a.","n.a.","n.a.","*","*","*"
"Montserrat","*","*","*","*","*","*","*","*"
"Morocco","*","*","*","*","*","*","*","*"
"Mozambique","*","*","*","*","*","*","*","*"
"Namibia","*","*","*","*","*","*","*",1
"Nauru","*","*","*","*","*","*","*","*"
"Nepal","*","*","*","*","*","*","*","*"
"Netherlands",128,152,165,151,164,195,202,210
"Netherlands Antilles (1)",3,7,6,2,2,"n.a.","n.a.","n.a."
"New Caledonia","*","*","*","*","*","*","*","*"
"New Zealand",4,6,8,7,8,12,13,12
"Nicaragua","*","*","*","*","*","*","*","*"
"Niger","*","*","*","*","*","*","*","*"
"Nigeria","*","*","*","*","*","*","*","*"
"Niue","*","*","*","*","*","*","*",0
"Norway",73,90,124,124,154,176,199,201
"Oman",1,2,4,4,4,7,7,6
"Pakistan","*","*","*","*","*","*","*","*"
"Palau","*","*","*","*","*","*","*","*"
"Panama",8,6,8,8,10,11,11,11
