                                                       
                                                       
                                                       
                                                       
                                                       
Table A4.  Value of foreign holdings of U.S. equities, by country and type of equities,
as of June 30, 2016
 Millions of dollars
                                                Total           Common                          Preferred
 Countries and Regions                         Equities          Stock            Funds         and Other
  Romania                                                  58              48              10               *
  Russia                                                  344             215             122               8
  Rwanda                                                    *               *               *               0
  Saint Kitts and Nevis                                  1452             609             760              83
  Saint Lucia                                             168              38             121               9
  Saint Martin & Saint Barthelemy (1)                       3               2               1               *
  Saint Vincent and the Grenadines                         28              18               9               *
  Samoa                                                    87              32              49               6
  San Marino                                                1               *               1               0
  Saudi Arabia                                          35158           28434            2843            3880
  Senegal                                                   5               1               3               *
  Serbia and Montenegro (1)                                11               8               3               0
  Seychelles                                              165              42             113              10
  Sierra Leone                                              *               *               *               *
  Singapore                                            136500          109568           13671           13261
  Sint Maarten (1)                                        175              67             104               4
  Slovakia                                                 37              27               8               2
  Slovenia                                                986             648             337               1
  Solomon Islands                                           *               *               0               0
  Somalia                                                   *               *               *               *
  South Africa                                           9193            6434            2371             388
  South Sudan                                               *               *               0               0
  Spain                                                 12802            7273            4520            1008
  Sri Lanka                                                21              14               7               *
  Sudan                                                     *               0               *               0
  Suriname                                                 53              15              31               8
  Swaziland                                                 5               2               3               0
  Sweden                                               117191          101391            9245            6555
  Switzerland                                          351088          287655           56940            6493
  Syria                                                     3               *               2               *
  Taiwan                                                42889           19191           22063            1635
  Tajikistan                                                1               1               *               *
  Tanzania                                                 11               6               5               *
  Thailand                                               2322             787            1516              19
  Togo                                                      1               1               *               0
  Tokelau                                                   *               *               0               0
  Tonga                                                     1               1               *               *
  Trinidad and Tobago                                    2215            1595             582              38
  Tunisia                                                 829              15             812               1
  Turkey                                                  528             265             255               8
  Turkmenistan                                              *               *               0               0
  Turks and Caicos Islands                                488             189             276              23
  Uganda                                                   13              11               2               1
  Ukraine                                                  27              12              10               4
  United Arab Emirates                                  86756           74680            6506            5570
  United Kingdom                                       740564          625190           66950           48424
  Uruguay                                                1855             632             902             322
  Uzbekistan                                                1               1               *               *
  Vanuatu                                                   3               *               3               0
  Venezuela                                              3074            1307            1429             339
  Vietnam                                                  32              20              12               *
  Wallis and Futuna                                         *               *               *               0
  West Bank and Gaza                                        *               *               *               0
  Yemen                                                     3               1               2               0
  Zambia                                                    4               2               2               *
  Zimbabwe                                                  4               1               3               0
  International and regional organizations               3786            1412            2024             350
  Country Unknown                                         199              68              67              64

  Total                                               6185574         4664900         1073105          447569

  of which: Holdings of foreign official
